,training set Accuracy,training set Precittion,training set Recall,training set F1 score,development set Accuracy,development set Precittion,development set Recall,development set F1 score,test set Accuracy,test set Precittion,test set Recall,test set F1 score,training set True positive ratio,training set True negative ratio,training set False positive ratio,training set False negative ratio,development set True positive ratio,development set True negative ratio,development set False positive ratio,development set False negative ratio,test set True positive ratio,test set True negative ratio,test set False positive ratio,test set False negative ratio,test AUC score,whole AUC score,loss,hek293 AUC score,hct116 AUC score,hela AUC score,hl60 AUC score
0,57.92897515196758,74.16338582677166,51.00693856828566,60.44319663090345,58.333333333333336,74.35028248587571,51.87229010642491,61.109821221267715,56.38424821002387,74.15881561238223,50.55045871559633,60.120021822149475,32.1424762717287,25.786498880238884,11.197611176282393,30.87341367175003,32.7363184079602,25.597014925373134,11.293532338308458,30.37313432835821,32.875894988066825,23.50835322195704,11.455847255369928,32.159904534606206,0.6137119563515672,0.6270432081841664,0.6354549527168274,0.4546173125120494,0.6604360203775846,0.6425019083718297,0.659034388131378
1,62.845259677935374,74.85140397622465,61.804027754273136,67.70485724879495,63.48258706467662,75.22416234072676,62.83011430823807,68.47079037800687,60.47136038186157,74.63976945244957,59.403669724770644,66.15581098339719,38.946358110269806,23.898901567665565,13.08520848885571,24.069531833208917,39.65174129353234,23.83084577114428,13.059701492537313,23.45771144278607,38.633651551312646,21.837708830548927,13.126491646778044,26.402147971360385,0.6561905078748786,0.6730591249422598,0.6392857432365417,0.41470985155195683,0.7166647937269004,0.6791467603743042,0.7247377297544523
2,61.11762823930895,76.1860680398056,55.71162633271282,64.35972629521017,61.39303482587065,76.37921799678628,56.208119826566815,64.75930971843779,59.21837708830549,76.31067961165049,54.08256880733945,63.302013422818796,35.10717713554442,26.01045110376453,10.973658952756745,27.908712807934304,35.4726368159204,25.920398009950247,10.970149253731343,27.63681592039801,35.173031026252985,24.045346062052506,10.918854415274463,29.86276849642005,0.6465420202273225,0.6575251420169725,0.6410595178604126,0.43080778870252556,0.690156452901808,0.6795144509811665,0.7097161478432381
3,60.531086701503675,77.71084337349397,52.394652225418845,62.58970989588598,60.37313432835821,77.22029988465975,52.77887268427276,62.70194333879654,58.800715990453455,77.15839564921822,52.06422018348624,62.174746644754855,33.01695638263837,27.51413031886531,9.469979737655967,29.998933560840353,33.308457711442784,27.064676616915424,9.82587064676617,29.800995024875622,33.86038186157518,24.94033412887828,10.023866348448687,31.175417661097853,0.6504833735166108,0.6693199950607871,0.6356515884399414,0.4256313861577019,0.6932187094196383,0.6840953659467499,0.7274390418203127
4,64.3382745014397,77.13137296382484,61.70248773058047,68.55960887551711,63.557213930348254,76.19745845552298,61.45053212455657,68.0340388391883,61.038186157517906,75.85798816568048,58.80733944954129,66.2532299741602,38.88237176069105,25.45590274074864,11.528207315772637,24.13351818278767,38.78109452736319,24.776119402985074,12.114427860696518,24.328358208955223,38.245823389021474,22.79236276849642,12.17183770883055,26.78997613365155,0.668254884616589,0.6896757278230554,0.6321299076080322,0.4259398496240602,0.7264134452102687,0.6985307182058672,0.7443758396935656
5,65.38338487789271,76.39246778989099,65.22254188525977,70.36698922767938,64.42786069651741,75.56581986143188,64.48561292865588,69.58740961293067,62.201670644391406,75.4601226993865,62.06422018348624,68.10974075006293,41.10056521275462,24.282819665138103,12.701290391383171,21.915324730724112,40.69651741293532,23.731343283582092,13.159203980099502,22.412935323383085,40.36396181384248,21.837708830548927,13.126491646778044,24.671837708830548,0.6656540611203305,0.6889061429354977,0.63215571641922,0.4319259687680741,0.7154848416741585,0.6929306339742831,0.7628419518051626
6,63.81571931321318,78.69525547445255,58.38551362328651,67.03584960652871,62.66169154228856,77.03549060542797,58.1789515175404,66.29238715472715,60.53102625298329,77.06885660138977,55.96330275229357,64.8418814775445,36.79215100778501,27.023568305428174,9.960541751093102,26.223738935693717,36.71641791044776,25.9452736318408,10.945273631840797,26.393034825870647,36.39618138424821,24.134844868735083,10.829355608591886,28.639618138424822,0.6598439897297805,0.6808589653369492,0.6335703730583191,0.4280701754385965,0.704122340425532,0.696373929008568,0.7497927564817196
7,65.11677508798122,78.97627416520211,60.83939752919275,68.73147882611605,63.65671641791045,77.81799379524303,59.32203389830508,67.32274658912995,61.78400954653937,77.86732796032238,57.61467889908257,66.22726074347483,38.338487789271625,26.778287298709607,10.205822757811667,24.677402154207105,37.43781094527363,26.218905472636816,10.671641791044777,25.671641791044774,37.47016706443914,24.313842482100238,10.65035799522673,27.565632458233893,0.6772288020164698,0.6981696186210171,0.6263353824615479,0.42874493927125507,0.7271033113575066,0.7097070320211631,0.777920704342109
8,66.51381038711742,76.97253068381063,66.86410560162463,71.56312262271328,65.39800995024876,75.85740072202167,66.25936145053213,70.73427309067958,63.72315035799523,76.51265126512651,63.80733944954129,69.5847923961981,42.13501119761118,24.37879918950624,12.605310867015037,20.880878745867548,41.81592039800995,23.582089552238806,13.308457711442786,21.293532338308456,41.49761336515513,22.225536992840095,12.738663484486873,23.5381861575179,0.6770542395967061,0.6953517881238734,0.6268863677978516,0.42997879313668785,0.7180226750574368,0.7133329384977823,0.7584112283108938
9,66.00191959048736,77.9650565262076,64.19021831105094,70.41024689066272,64.30348258706468,76.41418983700862,62.83011430823807,68.95955007570842,62.73866348448688,77.17454757734968,60.642201834862384,67.91677369637812,40.45003732537059,25.551882265116777,11.4322277914045,22.56585261810814,39.65174129353234,24.65174129353234,12.238805970149254,23.45771144278607,39.43914081145585,23.299522673031024,11.664677804295941,25.596658711217184,0.6795662163008422,0.6982897022359775,0.6235455870628357,0.4372758820127241,0.7214969783238437,0.712366413971914,0.7854529342823656
