,training set Accuracy,development set Accuracy,test set Accuracy,test set True positive ratio,test set True negative ratio,test AUC score,loss
0,57.92897515196758,58.333333333333336,56.38424821002387,32.875894988066825,23.50835322195704,0.6137119563515672,0.6354549527168274
1,62.845259677935374,63.48258706467662,60.47136038186157,38.633651551312646,21.837708830548927,0.6561905078748786,0.6392857432365417
2,61.11762823930895,61.39303482587065,59.21837708830549,35.173031026252985,24.045346062052506,0.6465420202273225,0.6410595178604126
3,60.531086701503675,60.37313432835821,58.800715990453455,33.86038186157518,24.94033412887828,0.6504833735166108,0.6356515884399414
4,64.3382745014397,63.557213930348254,61.038186157517906,38.245823389021474,22.79236276849642,0.668254884616589,0.6321299076080322
5,65.38338487789271,64.42786069651741,62.201670644391406,40.36396181384248,21.837708830548927,0.6656540611203305,0.63215571641922
6,63.81571931321318,62.66169154228856,60.53102625298329,36.39618138424821,24.134844868735083,0.6598439897297805,0.6335703730583191
7,65.11677508798122,63.65671641791045,61.78400954653937,37.47016706443914,24.313842482100238,0.6772288020164698,0.6263353824615479
8,66.51381038711742,65.39800995024876,63.72315035799523,41.49761336515513,22.225536992840095,0.6770542395967061,0.6268863677978516
9,66.00191959048736,64.30348258706468,62.73866348448688,39.43914081145585,23.299522673031024,0.6795662163008422,0.6235455870628357
10,66.0445771568732,63.98009950248756,63.424821002386636,40.72195704057279,22.702863961813843,0.682057057644738,0.6195014119148254
11,66.17254985603071,63.681592039801,62.5,39.05131264916468,23.448687350835325,0.6786902730375426,0.6245383024215698
12,66.84440652660766,64.45273631840796,63.69331742243437,39.94630071599045,23.74701670644391,0.6858256097942825,0.6215842366218567
13,66.51381038711742,63.88059701492538,61.9928400954654,38.633651551312646,23.359188544152744,0.6821188981432195,0.615093469619751
14,67.40961928122,63.95522388059701,62.798329355608594,39.26014319809069,23.5381861575179,0.6778184394276231,0.61752849817276
15,67.54825637197398,64.27860696517413,63.991646778042956,40.90095465393795,23.09069212410501,0.6832989557566459,0.6142356395721436
16,70.19302548789591,66.94029850746269,66.73627684964201,45.4653937947494,21.2708830548926,0.6941280881109685,0.6191454529762268
17,69.05193558707475,65.27363184079601,64.85680190930788,42.004773269689736,22.852028639618137,0.6992935310141842,0.6189145445823669
18,69.76644982403754,66.51741293532338,65.18496420047732,43.43675417661098,21.74821002386635,0.6928832545323607,0.6138099431991577
19,70.08638157193133,66.3681592039801,66.3782816229117,45.64439140811456,20.733890214797135,0.6855541769734164,0.6182053089141846
20,69.8837581315986,66.69154228855722,65.51312649164677,43.943914081145586,21.569212410501194,0.6850776528791057,0.6140642762184143
21,69.28655220219686,65.02487562189054,65.09546539379475,41.05011933174224,24.045346062052506,0.6971637520743965,0.6130594611167908
22,69.8837581315986,65.8955223880597,65.39379474940334,42.27326968973747,23.120525059665873,0.6951938582208723,0.6166681051254272
23,69.5105044257225,65.29850746268657,65.1252983293556,42.60143198090692,22.52386634844869,0.6928470504430598,0.607502818107605
24,70.23568305428175,66.29353233830845,65.81145584725537,43.4964200477327,22.315035799522672,0.694954324138147,0.621036171913147
25,70.89687533326223,66.26865671641791,66.16945107398568,44.093078758949886,22.0763723150358,0.6987303128033315,0.610500156879425
26,70.16103231310655,65.9950248756219,65.4236276849642,42.5417661097852,22.881861575178995,0.6951535444781913,0.614878237247467
27,69.37186733496854,64.95024875621891,64.28997613365155,39.91646778042959,24.373508353221958,0.6977424304098695,0.6125869750976562
28,71.8033486189613,66.69154228855722,66.52744630071598,45.76372315035799,20.763723150357997,0.6927110404859567,0.6099043488502502
29,69.4891756425296,65.4228855721393,64.618138424821,40.841288782816235,23.776849642004773,0.6974236387262424,0.6138415336608887
30,70.91820411645516,65.8955223880597,65.8711217183771,43.078758949880665,22.79236276849642,0.6964349735416602,0.6103386282920837
31,71.22747147275248,66.56716417910448,67.3926014319809,46.06205250596659,21.33054892601432,0.6894659798979239,0.6194482445716858
32,69.83043617361629,64.82587064676618,65.1252983293556,41.13961813842482,23.98568019093079,0.6906419278579703,0.6148351430892944
33,71.8033486189613,66.39303482587064,67.21360381861575,45.22673031026253,21.98687350835322,0.6979111218962333,0.6115174889564514
34,71.95265010131172,66.318407960199,66.3782816229117,43.914081145584724,22.46420047732697,0.7004164448758494,0.6098871231079102
35,70.63026554335076,65.12437810945273,65.66229116945107,41.616945107398564,24.045346062052506,0.6962566928640761,0.6021844744682312
36,70.93953289964807,65.29850746268657,64.97613365155132,40.81145584725537,24.16467780429594,0.6997532250994145,0.613795816898346
37,72.01663645089049,66.24378109452736,66.0799522673031,43.16825775656324,22.911694510739856,0.6962709788020165,0.6096869111061096
38,71.54740322064626,66.06965174129354,65.75178997613365,42.332935560859184,23.418854415274463,0.6943081300685725,0.6057158708572388
39,72.4858696811347,66.71641791044776,66.5871121718377,44.540572792362774,22.046539379474943,0.6957330056047845,0.6051346063613892
40,73.05108243574703,67.18905472636816,67.5417661097852,46.211217183770884,21.33054892601432,0.6969124761248707,0.6008698344230652
41,72.85912338701077,67.363184079602,67.21360381861575,45.79355608591885,21.420047732696897,0.6945605802047781,0.6086484789848328
42,72.08062280046923,66.318407960199,66.79594272076372,44.74940334128878,22.046539379474943,0.6956866252309233,0.6066870093345642
43,73.01908926095766,66.7412935323383,67.57159904534606,46.86754176610978,20.704057279236277,0.7001794548642641,0.6082113981246948
44,71.96331449290818,65.87064676616914,65.54295942720763,42.81026252983294,22.7326968973747,0.6943157622819927,0.6007704138755798
45,72.6671643382745,65.54726368159204,66.10978520286396,42.959427207637226,23.15035799522673,0.6975995710304663,0.6102428436279297
