,training set Accuracy,training set Precittion,training set Recall,training set F1 score,development set Accuracy,development set Precittion,development set Recall,development set F1 score,test set Accuracy,test set Precittion,test set Recall,test set F1 score,training set True positive ratio,training set True negative ratio,training set False positive ratio,training set False negative ratio,development set True positive ratio,development set True negative ratio,development set False positive ratio,development set False negative ratio,test set True positive ratio,test set True negative ratio,test set False positive ratio,test set False negative ratio,test AUC score,whole AUC score,loss,hct116 AUC score,hela AUC score,hl60 AUC score
0,57.77425428599743,79.98359310910583,45.32073132940812,57.85777865690832,54.79768786127167,78.08127914723516,41.887062187276626,54.52430797859967,43.76339477068152,53.699284009546545,32.751091703056765,40.6871609403255,28.986225349321177,28.78802893667625,7.253988702804478,34.97175701119809,27.098265895953755,27.699421965317917,7.606936416184971,37.59537572254335,19.288469781397342,24.474924989284183,16.6309472781826,39.605657951135875,0.4537113350424159,0.6534268909649691,0.6138515472412109,0.6815471731095795,0.6888070701885998,0.7062144470171225
1,70.87503716182736,74.65282648337775,82.46048961884102,78.3626592063609,69.52601156069365,74.1514360313316,81.20085775553967,77.51620607301263,50.921560222888985,57.32565579014716,65.21106259097526,61.01464078992169,52.74006540481617,18.134971757011197,17.90704588246953,11.217916955703101,52.531791907514446,16.99421965317919,18.3121387283237,12.161849710982658,38.40548649807115,12.516073724817831,28.589798542648946,20.488641234462065,0.47209459756873134,0.6734832523395249,0.6070839762687683,0.7051337278993108,0.7192258590963531,0.7566532315696195
2,66.96065801208998,81.17505995203837,62.93771304617292,70.90242625240006,62.86705202312138,78.59884836852208,58.541815582558975,67.10364604670218,47.27818259751393,58.591885441527445,35.73508005822416,44.394213381555154,40.25369140818551,26.70696660390447,9.335051035576255,23.70429095233376,37.872832369942195,24.99421965317919,10.3121387283237,26.820809248554912,21.045863694813544,26.232318902700385,14.873553364766396,37.84826403771967,0.4923850201796206,0.6783245678288603,0.5980968475341797,0.7371609979023075,0.7255432279122411,0.681388102792785
3,72.72817362005748,79.21401515151516,77.76572668112797,78.4831899921814,69.2485549132948,77.20533728687917,74.44603288062902,75.80058224163028,50.27861123017574,57.12383488681758,62.44541484716157,59.66620305980529,49.737389753245466,22.990783866812013,13.051233772668713,14.220592607273808,48.16184971098266,21.08670520231214,14.219653179190752,16.53179190751445,36.7766823831976,13.501928846978139,27.60394342048864,22.11744534933562,0.4587740747655324,0.6968758264105813,0.5853868126869202,0.7538332833882728,0.7338800160566458,0.7014549924248922
4,72.85700128827668,82.34372279296535,73.27238921599009,77.54365827662541,68.13872832369943,79.9831081081081,67.69120800571838,73.32559039876114,46.76382340334334,55.21327014218009,50.87336244541485,52.95454545454545,46.86354176989396,25.993459518382718,10.048558121098008,17.09444059062531,43.79190751445087,24.346820809248555,10.959537572254336,20.901734104046245,29.961423060437202,16.80240034290613,24.30347192456065,28.932704672096015,0.44939043733389195,0.7110599330206087,0.5828039050102234,0.7581441664169415,0.7495747292086179,0.7711745705056743
5,75.05698146863541,81.3805196875498,79.09823365354819,80.22314763887798,68.99421965317919,77.43879472693031,73.48105789849893,75.40803227581148,49.54993570510073,56.4505566470203,62.73653566229985,59.427783522923114,50.58963432761867,24.46734714101675,11.574670498463977,13.368348032900604,47.53757225433526,21.45664739884393,13.849710982658959,17.156069364161848,36.94813544792113,12.601800257179596,28.504072010287185,21.945992284612085,0.44953235493668353,0.7065963130072794,0.576978325843811,0.757151508340825,0.7490704913070372,0.7367864391275764
6,77.53443662669706,83.49064149736041,80.86458010536101,82.15663124754033,70.52023121387283,78.57410881801125,74.83917083631165,76.66117517847336,47.53536219459923,55.60538116591929,54.14847161572053,54.86725663716814,51.71935387969477,25.815082747002275,10.226934892478447,12.238628480824497,48.41618497109826,22.104046242774565,13.202312138728322,16.277456647398843,31.89027003857694,15.645092156022288,25.460780111444492,27.003857693956277,0.4469444457093072,0.7286672295672573,0.5680972933769226,0.7895002996703626,0.7656749713744224,0.7856959094417288
7,77.80200178376772,81.0126582278481,85.28044623489309,83.09178743961353,71.58381502890172,76.31667225763167,81.30807719799857,78.73334486935455,48.64980711530219,55.86666666666667,60.98981077147017,58.31593597773139,54.54365275988504,23.25834902388267,12.783668615598057,9.414329600634229,52.601156069364166,18.98265895953757,16.32369942196532,12.092485549132947,35.91941705957994,12.730390055722246,28.375482211744536,22.97471067295328,0.447665796947026,0.7258237546938737,0.5667207837104797,0.7827951753071621,0.7603068530290468,0.7911414115427493
8,72.50024774551581,85.82278481012658,68.28323520297491,76.05487962723274,65.36416184971098,80.8641975308642,60.86490350250179,69.45350734094617,47.235319331333045,56.57773689052438,44.75982532751092,49.97968305566843,43.67257952631057,28.827668219205233,7.214349420275493,20.285402834208703,39.3757225433526,25.98843930635838,9.317919075144507,25.317919075144506,26.360908701243034,20.87441063009001,20.231461637376768,32.53321903129019,0.45479506946373355,0.7302902027355087,0.5665600299835205,0.7841842723004695,0.7599161303483766,0.7953863305033874
9,76.0975126350213,84.11546252532072,77.20793306476604,80.51381483276782,68.0693641618497,78.81252541683611,69.26375982844888,73.73026440935895,49.078439777111015,56.22489959839358,61.135371179039296,58.57740585774059,49.38063621048459,26.716876424536718,9.32514121494401,14.577346150034684,44.809248554913296,23.260115606936417,12.046242774566473,19.884393063583815,36.00514359194171,13.073296185169308,28.03257608229747,22.88898414059151,0.4464902334886079,0.7255922867249369,0.5643147826194763,0.766197807411847,0.7745143522722786,0.7665294571649087
