,training set Accuracy,development set Accuracy,test set Accuracy,test set True positive ratio,test set True negative ratio,test AUC score,loss
0,57.77425428599743,54.79768786127167,43.76339477068152,19.288469781397342,24.474924989284183,0.4537113350424159,0.6138515472412109
1,70.87503716182736,69.52601156069365,50.921560222888985,38.40548649807115,12.516073724817831,0.47209459756873134,0.6070839762687683
2,66.96065801208998,62.86705202312138,47.27818259751393,21.045863694813544,26.232318902700385,0.4923850201796206,0.5980968475341797
3,72.72817362005748,69.2485549132948,50.27861123017574,36.7766823831976,13.501928846978139,0.4587740747655324,0.5853868126869202
4,72.85700128827668,68.13872832369943,46.76382340334334,29.961423060437202,16.80240034290613,0.44939043733389195,0.5828039050102234
5,75.05698146863541,68.99421965317919,49.54993570510073,36.94813544792113,12.601800257179596,0.44953235493668353,0.576978325843811
6,77.53443662669706,70.52023121387283,47.53536219459923,31.89027003857694,15.645092156022288,0.4469444457093072,0.5680972933769226
7,77.80200178376772,71.58381502890172,48.64980711530219,35.91941705957994,12.730390055722246,0.447665796947026,0.5667207837104797
8,72.50024774551581,65.36416184971098,47.235319331333045,26.360908701243034,20.87441063009001,0.45479506946373355,0.5665600299835205
9,76.0975126350213,68.0693641618497,49.078439777111015,36.00514359194171,13.073296185169308,0.4464902334886079,0.5643147826194763
10,79.50649093251411,71.35260115606937,48.178311187312474,31.50450064294899,16.67381054436348,0.4493209963678201,0.5626047849655151
11,80.46774353384204,71.39884393063583,47.40677239605658,32.790398628375485,14.616373767681099,0.44442104448319986,0.5499563813209534
12,81.75602021603409,70.82080924855492,46.93527646806687,33.690527218174026,13.244749249892843,0.43653475159866006,0.5441430807113647
13,82.46952730155584,71.46820809248555,47.44963566223746,32.91898842691813,14.53064723531933,0.4453135316536968,0.5453581213951111
14,74.48221187196512,64.39306358381502,45.47792541791685,23.83197599657094,21.645949421345907,0.4526526449039438,0.5382583141326904
15,80.78485779407393,69.13294797687861,48.13544792113159,33.34762108872696,14.78782683240463,0.44680784053014955,0.5558089017868042
16,82.68754335546527,70.98265895953757,49.3784826403772,32.57608229747107,16.80240034290613,0.4537758430436848,0.5398265719413757
17,83.480329006045,72.64739884393063,49.078439777111015,35.40505786540935,13.673381911701671,0.4438112541417931,0.5485433340072632
18,84.23347537409573,73.38728323699422,49.121303043291896,37.505357908272615,11.615945135019288,0.4427017165199679,0.5280002355575562
19,85.4424734912298,73.80346820809248,47.87826832404629,33.13330475782254,14.744963566223745,0.44309293857472226,0.5361025333404541
20,82.67763353483302,70.45086705202313,45.39219888555508,26.74667809687098,18.6455207886841,0.4439785954862613,0.528182864189148
21,85.97760380537113,73.04046242774567,48.178311187312474,35.662237462494645,12.516073724817831,0.4449276220225763,0.5261975526809692
22,86.334357348132,72.78612716763006,47.53536219459923,32.14744963566224,15.387912558936993,0.4439008064259077,0.5289096236228943
23,84.95689228024973,71.39884393063583,47.192456065152165,30.475782254607804,16.716673810544364,0.44932213474431304,0.5341941714286804
24,86.15598057675156,72.20809248554913,48.221174453493354,36.73381911701672,11.48735533647664,0.436540064022294,0.5248252749443054
25,85.95778416410663,72.5086705202312,48.52121731675953,34.5049292756108,14.016288041148735,0.4444244596126788,0.5327832102775574
26,86.13616093548707,72.76300578034682,46.97813973424775,31.20445777968281,15.773681954564939,0.4453241565009646,0.5342852473258972
27,86.50282429888018,72.30057803468209,48.13544792113159,33.60480068581226,14.53064723531933,0.44669893584565434,0.5192488431930542
28,86.91903676543454,73.82658959537572,49.76425203600514,37.2910415773682,12.473210458636947,0.44320791460051334,0.527239978313446
29,86.71093053215738,72.06936416184972,47.57822546078011,33.861980282897555,13.716245177882556,0.4469140890028277,0.5217978358268738
30,87.17669210187296,71.79190751445087,49.80711530218603,37.2910415773682,12.516073724817831,0.4580106035975733,0.5250632166862488
31,86.81993855911207,71.90751445086705,46.93527646806687,31.247321045863696,15.687955422203173,0.4389902296940196,0.5326831936836243
32,84.65959766128233,70.54335260115607,46.80668666952422,30.218602657522503,16.588084012001715,0.44984313171926726,0.5115433931350708
33,86.77038945595085,72.04624277456647,47.66395199314188,35.662237462494645,12.001714530647236,0.4377383950105717,0.5098763108253479
34,87.25597066693092,72.73988439306358,47.87826832404629,34.5049292756108,13.37333904843549,0.442340471712862,0.5068299174308777
35,88.02893667624616,72.57803468208093,47.53536219459923,32.40462923274753,15.130732961851692,0.4296756537696199,0.5098458528518677
36,88.47487860469727,73.13294797687861,46.80668666952422,34.20488641234462,12.601800257179596,0.43429063207216395,0.504596471786499
37,88.38569021900705,70.91329479768787,46.50664380625803,29.961423060437202,16.54522074582083,0.43546050364811717,0.5054888129234314
38,88.92082053314834,72.48554913294798,47.235319331333045,32.06172310330047,15.173596228032576,0.4377319442104448,0.501586377620697
39,89.47577048855416,73.13294797687861,47.921131590227176,33.5190741534505,14.402057436776683,0.4387022204412954,0.5074259042739868
40,89.17847586958676,72.11560693641619,46.76382340334334,30.732961851693098,16.030861551650236,0.441392204094209,0.5066227912902832
41,88.4847884253295,72.46242774566474,47.32104586369481,32.70467209601372,14.616373767681099,0.44310128666900417,0.501219630241394
42,89.85234367257952,73.59537572254335,45.64937848264038,30.990141448778395,14.659237033861979,0.4303989023014937,0.5061632394790649
43,89.54513923297989,73.15606936416185,47.063866266609516,32.57608229747107,14.487783969138448,0.4448691853626032,0.5028694868087769
44,90.83341591517194,74.01156069364163,46.5923703386198,34.719245606515216,11.873124732104587,0.43335944010090566,0.5056871175765991
45,90.3577445248241,73.47976878612717,46.63523360480069,32.40462923274753,14.230604372053152,0.43849351808424897,0.5023191571235657
