,Train SPEAR CORR score,Train SPEAR Pval score,Test SPEAR CORR score,Test SPEAR Pval score,Whole SPEAR CORR score,Whole SPEAR Pval score,Test ERROR score,Train ERROR score,Whole ERROR score,training loss,hek293 spearman corr,hct116 spearman corr,hela spearman corr,hl60 spearman corr,hek293 P value,hct116 P value,hela P value,hl60 P value
0,0.044607779419976595,6.7741382145820616e-06,0.012307000557845994,0.44825122267809026,0.028646421951178967,7.903220979492325e-05,0.11757691204547882,0.1131327748298645,0.11461642384529114,0.170685276389122,-0.033670103069371446,-0.01616075869127579,0.04053723792806047,0.09223351624539108,0.3092369584206392,0.6383943760493533,0.10278328760594023,0.06016948395176179
1,0.03542727877281144,0.0003519074881545243,0.0037399899492634907,0.8177474942952067,0.024420599878236086,0.0007659008049288077,0.04626530036330223,0.04253484681248665,0.043319884687662125,0.035438306629657745,0.056123863524578745,-0.0023884217349457583,-0.00629942015766472,-0.02433641594601983,0.08992836818323113,0.9446319108455362,0.7999344941786439,0.6206373946919345
2,0.09358069286746043,3.1447416536608367e-21,0.03513233233901061,0.030359112435029232,0.06978342852655203,6.238667690211037e-22,0.04016000032424927,0.036053936928510666,0.03706277534365654,0.029133325442671776,0.05529327013117439,0.016266472154157347,0.03745849340471524,0.06879421393376495,0.09479267711746726,0.6361993388707723,0.13168095405966027,0.16134272721302106
3,0.09212948167111093,1.2722521768064419e-20,0.03012119940686908,0.0634020733368489,0.07302008696126491,7.262078556150183e-24,0.028596922755241394,0.025923237204551697,0.026565100997686386,0.02748369611799717,0.009730138398076555,-0.0038759766386825267,0.056888685993542465,0.01217387535754529,0.7689335447817065,0.9102651689985366,0.02199117565973058,0.8044738095741827
4,0.06041900571767874,1.0709381766305956e-09,0.005238483993846115,0.7468654139554567,0.0393828037062728,5.7078142892006673e-08,0.03465356305241585,0.03160787746310234,0.03241642192006111,0.028667446225881577,-0.00199075241518505,0.043714287975919607,-0.0067539865274262615,-0.0009496202852361299,0.9520736115727688,0.20347635323389032,0.785837370319425,0.9845936035749432
5,0.08014004633265567,5.742484266383289e-16,0.024266328081075345,0.13480797557183546,0.05552578467985051,1.9259577454423383e-14,0.03209219127893448,0.028736092150211334,0.029731931164860725,0.031412240117788315,0.09071202017790321,0.01940712831669227,0.005034122129765086,0.02149455597709043,0.006063052140917443,0.5725066798938613,0.8395047776485043,0.662012718880582
6,0.061144095190590525,6.752276423476339e-10,0.0404978024462562,0.012548710303942985,0.05337907464952123,1.8519070063016685e-13,0.02916504070162773,0.026935836300253868,0.027452729642391205,0.028463957831263542,-0.023298561251933227,0.049706088481981485,0.04037146055382761,0.15212443576186319,0.48174186011579545,0.14811492251162622,0.10419880010201142,0.001861179465311102
7,0.07740548900829633,5.383780014236895e-15,0.010039967219066543,0.5361564105385396,0.04627432024422818,1.7888966101470266e-10,0.044342171400785446,0.04001960903406143,0.04167114943265915,0.03246099129319191,0.07532183932211665,-0.002551281865029107,-0.007643060129838476,-0.006912708943132797,0.02276940070120459,0.9408631959452742,0.7584709803518096,0.8882099737131515
8,0.10338966270420918,1.4010854898904052e-25,0.042406548477533376,0.008946626262589174,0.07073080016339081,1.7297686026172084e-22,0.031866323202848434,0.02860669605433941,0.02990025468170643,0.027932249009609222,0.055600063198963344,0.06079130216705171,0.031851857496355156,0.09489735366479755,0.09297200982889721,0.0768446971453651,0.19993242534617475,0.05310371366309824
9,0.07644293407223515,1.1623473749391545e-14,0.024947234967838544,0.12419986013434761,0.055289400070186435,2.4816173798203542e-14,0.029848475009202957,0.027073703706264496,0.027771035209298134,0.02825338765978813,-0.004408415690132369,0.006085047573050755,0.037729790489652054,0.13379078016548765,0.8941179395815522,0.859555896591745,0.12890547122622675,0.006278074028711604
