,Train SPEAR CORR score,Train SPEAR Pval score,Test SPEAR CORR score,Test SPEAR Pval score,Whole SPEAR CORR score,Whole SPEAR Pval score,Test ERROR score,Train ERROR score,Whole ERROR score,training loss,hek293 spearman corr,hct116 spearman corr,hela spearman corr,hl60 spearman corr,hek293 P value,hct116 P value,hela P value,hl60 P value
0,0.0019293783904420448,0.8457324894075083,0.014144319207503971,0.3834504465024282,5.9939862373849255e-05,0.9934113983414354,0.17289210855960846,0.1703418791294098,0.1704949289560318,0.328544020652771,0.004636282758697861,0.0811008124720161,-0.041832493665470004,0.17393419833178872,0.8886797068517762,0.01817175823014734,0.09224299570068238,0.0003651004837915659
1,0.12330354821457162,9.352131564368836e-36,0.09805539950299931,1.392400127579349e-09,0.11918193473504228,5.281137095291755e-61,0.12691433727741241,0.12190236151218414,0.12279167026281357,0.11059734225273132,0.08243940424340972,0.053448801611610794,0.18392966588490717,-0.02748514811876171,0.012660538474811684,0.11988212681557657,8.43450713943443e-14,0.5761562280923818
2,0.16003590438323526,2.4856739398125537e-59,0.16708568370890292,3.4644513209347254e-25,0.15884715611619324,1.7066607593779117e-107,0.07431366294622421,0.07099931687116623,0.07122696936130524,0.06949518620967865,0.021600394586083798,0.19389407637946268,0.24134026991815977,0.2614769537474747,0.5142625393444806,1.2551994273341997e-08,6.502822398695466e-23,6.250334830893918e-08
3,0.1939466819379513,8.662749663707836e-87,0.17049505657280153,3.582837821829474e-26,0.1826389495875437,4.742194722597072e-142,0.02693377621471882,0.024804631248116493,0.025306593626737595,0.05196049436926842,-0.023437664036302323,0.19870025080922482,0.25498169138744564,0.130071142344697,0.4791283795839498,5.347180512533265e-09,1.7909322685133171e-25,0.00790146102681881
4,0.1994647077234554,8.678403794524064e-92,0.1923332225388679,5.578366947354463e-33,0.190246247146261,3.515382916908165e-154,0.030616886913776398,0.02859489619731903,0.029048169031739235,0.045691799372434616,-0.05100178207467237,0.2258313985288482,0.2797165141687028,0.3022631199951994,0.12336529432510243,2.8769178437263377e-11,1.6035399819844673e-30,3.088743266765238e-10
5,0.1847253369830014,9.057134099119337e-79,0.17843715348034472,1.5069152690411456e-28,0.17926398083005526,7.735175859837014e-137,0.02924823947250843,0.027548637241125107,0.027968743816018105,0.03703683614730835,0.008859107597253136,0.20167135701285396,0.25736822663997977,0.28441019195764794,0.789106460757936,3.1214962804358874e-09,6.152407465901013e-26,3.50944141110093e-09
6,0.2043484638595975,2.4414465302561363e-96,0.19718107530916157,1.3107591872901902e-34,0.19594709988417217,1.2815667591252082e-163,0.0286431722342968,0.026624096557497978,0.027040088549256325,0.03684559836983681,-0.02430214919656924,0.23308991080067437,0.28518712831027004,0.2783770944319614,0.463060867358992,6.306443104633239e-12,1.03785704021657e-31,7.683161099289566e-09
7,0.21151320965021037,3.1283981899349024e-103,0.19782947186494934,7.877127895795461e-35,0.20150679462040025,4.1097527197734176e-173,0.02892656810581684,0.027122285217046738,0.02759101241827011,0.0314306877553463,-0.05067003191364569,0.24193381999735553,0.28508696078473567,0.2649038878257913,0.12582739118730285,9.253546946943585e-13,1.0918106528326412e-31,4.1338375216655894e-08
8,0.20406516377881181,4.517354929305287e-96,0.1994465214615595,2.1950450680647255e-35,0.1973547418339903,5.383907776196403e-166,0.02821570262312889,0.02655727043747902,0.026973703876137733,0.030643364414572716,-0.035035388150674446,0.24340829846846293,0.2890550636555229,0.29919173095258733,0.2900188058086562,6.669214019051099e-13,1.443266925515771e-32,4.748856908591013e-10
9,0.20482388024764134,8.675308312983784e-97,0.20173194926344212,3.539180253865722e-36,0.19835263901861655,1.0842957974012075e-167,0.026593675836920738,0.024816714227199554,0.02522309310734272,0.028496529906988144,-0.020939958894349273,0.24671614395857475,0.3037113505735418,0.27958658096692246,0.5272111873422833,3.1736435124566636e-13,6.15917802857836e-36,6.576139164220596e-09
