,training set Accuracy,training set Precittion,training set Recall,training set F1 score,development set Accuracy,development set Precittion,development set Recall,development set F1 score,test set Accuracy,test set Precittion,test set Recall,test set F1 score,training set True positive ratio,training set True negative ratio,training set False positive ratio,training set False negative ratio,development set True positive ratio,development set True negative ratio,development set False positive ratio,development set False negative ratio,test set True positive ratio,test set True negative ratio,test set False positive ratio,test set False negative ratio,test AUC score,whole AUC score,loss,hek293 AUC score,hct116 AUC score,hela AUC score
0,59.2444747346899,77.04517704517706,49.28917356663021,60.11814024390243,56.58791458427987,74.59016393442623,46.31043256997455,57.14285714285714,50.28901734104046,82.5,38.059701492537314,52.089136490250695,30.71755427903807,28.526920455651833,9.151981306591374,31.60354395871872,28.941390277146752,27.64652430713312,9.859154929577464,33.552930486142664,27.02312138728324,23.265895953757227,5.732177263969172,43.97880539499037,0.6274466162091986,0.6497220970358606,0.6301244497299194,0.44583574320416425,0.7012910798122065,0.6949492307287347
1,59.80917145360725,78.63441672965482,48.75800656147477,60.19286403085825,58.405270331667424,77.41358760429083,47.21919302071974,58.65883946714834,39.30635838150289,84.07643312101911,17.91044776119403,29.530201342281874,30.38652516794859,29.42264628565865,8.256255476584558,31.9345730698082,29.509313948205364,28.895956383462064,8.609722853248524,32.98500681508405,12.716763005780345,26.589595375722542,2.4084778420038537,58.285163776493256,0.5987408547717468,0.6371025740314027,0.6279829144477844,0.4721708116444958,0.692126161222655,0.6994478882878614
2,64.28780060364132,79.76475713352211,57.209810967036404,66.63027656477438,60.17719218537029,76.23554153522608,52.70810614322065,62.325381474317645,48.84393063583815,83.11897106109325,35.07462686567165,49.33206106870229,35.65378249440172,28.634018109239605,9.044883653003602,26.66731574335508,32.93957292139936,27.237619263970924,10.268059972739664,29.554747841890048,24.903660886319845,23.940269749518304,5.057803468208093,46.09826589595375,0.6254158458688136,0.6690202317452387,0.6135562062263489,0.4737613263929053,0.7205136849465589,0.7212206012029323
3,66.24476681919968,81.7257785467128,59.037650367130134,68.5532879818594,61.06315311222171,77.24645296899632,53.43511450381679,63.17146540610228,44.02697495183045,83.47639484978541,26.39077340569878,40.103092783505154,36.79291208256256,29.451854736637134,8.227047025606076,25.528186155194238,33.39391185824625,27.669241253975468,9.83643798273512,29.100408905043164,18.737957610789984,25.289017341040466,3.7090558766859343,52.26396917148362,0.6091302397706424,0.6717125454317368,0.608756959438324,0.48608058608058613,0.7280959694336231,0.7424676892907438
4,66.30318372115666,79.96331023236853,61.2872988595532,69.39064296453526,61.40390731485689,75.70869990224828,56.30679752817157,64.58203043568896,48.69942196531792,78.92503536067893,37.8561736770692,51.169188445667125,38.19491772952974,28.10826599162691,9.570635770616299,24.126180508227048,35.188550658791456,26.215356656065424,11.29032258064516,27.305770104497956,26.878612716763005,21.820809248554912,7.1772639691714835,44.1233140655106,0.5931990605715006,0.6863125489544766,0.5982819199562073,0.5181897050318103,0.7367239786235141,0.7464390768744817
5,69.92503164248856,82.01856148491879,66.27089517262928,73.30856303464961,63.17582916855975,76.08494921514311,59.9054889131225,67.03274354281065,49.08477842003854,82.12634822804314,36.16010854816825,50.21196420160151,41.30074968357512,28.624281958913443,9.054619803329764,21.020348554181677,37.43752839618355,25.738300772376192,11.767378464334394,25.056792367105864,25.67437379576108,23.410404624277454,5.5876685934489405,45.32755298651253,0.614095597217777,0.6961414151250762,0.5989208221435547,0.5128590707538077,0.7587372640095893,0.76741553809505
6,73.19637815207867,80.91525423728814,74.58209654741447,77.61970571498253,66.44706951385734,75.3987240829346,68.73864049436568,71.91481270203461,59.874759152215795,78.79604672057502,59.49796472184532,67.80054116737534,46.480381657092785,26.715996494985884,10.962905267257327,15.840716580664004,42.95774647887324,23.489323034984096,14.016356201726488,19.536574284416176,42.24470134874759,17.63005780346821,11.368015414258188,28.757225433526013,0.6251335439985215,0.7100212550918726,0.5862303376197815,0.5093310198573355,0.7788557586654681,0.7718845829878522
7,73.00165514555545,84.91147036181678,68.92673019840649,76.08864361472794,63.880054520672424,76.86256362795002,60.37804434751,67.63029315960912,51.49325626204239,78.86279357231149,43.28358208955223,55.89137100306614,42.95589523902249,30.04575990653296,7.633141855710251,19.3652029987343,37.73284870513403,26.147205815538392,11.358473421172194,24.761472058155384,30.732177263969174,20.761078998073216,8.236994219653178,40.26974951830443,0.6150642138146477,0.7276630105486378,0.5787867903709412,0.5294389820705612,0.7955904754769754,0.7787473184085495
8,75.89329179242527,82.52942151500083,77.7847211373223,80.08685861347917,66.85597455701954,74.6001523229246,71.21046892039259,72.86591035893622,56.98458574181118,78.56440511307768,54.20624151967436,64.15094339622641,48.476292473955795,27.416999318469475,10.261902443773732,13.844805763800993,44.502498864152656,22.35347569286688,15.152203543843706,17.991821899136756,38.48747591522158,18.497109826589593,10.500963391136802,32.51445086705203,0.625931990605715,0.7351472568171543,0.5782541632652283,0.5237516869095816,0.792141144740785,0.7908218831023546
9,74.90020445915685,82.15306980656013,76.30057803468208,79.11874291268427,66.67423898228078,75.11737089201877,69.7928026172301,72.35726399095533,61.994219653179194,77.86818551668023,64.92537313432835,70.81021087680355,47.5513581929705,27.34884626618635,10.33005549605686,14.769740044786293,43.616537937301224,23.057701044979556,14.447978191731032,18.877782825988188,46.09826589595375,15.895953757225435,13.102119460500964,24.903660886319845,0.6363151773599535,0.7342508333231124,0.5923384428024292,0.5329863119336804,0.7878802067725501,0.7768899461707532
