,training set Accuracy,development set Accuracy,test set Accuracy,test set True positive ratio,test set True negative ratio,test AUC score,loss
0,59.2444747346899,56.58791458427987,50.28901734104046,27.02312138728324,23.265895953757227,0.6274466162091986,0.6301244497299194
1,59.80917145360725,58.405270331667424,39.30635838150289,12.716763005780345,26.589595375722542,0.5987408547717468,0.6279829144477844
2,64.28780060364132,60.17719218537029,48.84393063583815,24.903660886319845,23.940269749518304,0.6254158458688136,0.6135562062263489
3,66.24476681919968,61.06315311222171,44.02697495183045,18.737957610789984,25.289017341040466,0.6091302397706424,0.608756959438324
4,66.30318372115666,61.40390731485689,48.69942196531792,26.878612716763005,21.820809248554912,0.5931990605715006,0.5982819199562073
5,69.92503164248856,63.17582916855975,49.08477842003854,25.67437379576108,23.410404624277454,0.614095597217777,0.5989208221435547
6,73.19637815207867,66.44706951385734,59.874759152215795,42.24470134874759,17.63005780346821,0.6251335439985215,0.5862303376197815
7,73.00165514555545,63.880054520672424,51.49325626204239,30.732177263969174,20.761078998073216,0.6150642138146477,0.5787867903709412
8,75.89329179242527,66.85597455701954,56.98458574181118,38.48747591522158,18.497109826589593,0.625931990605715,0.5782541632652283
9,74.90020445915685,66.67423898228078,61.994219653179194,46.09826589595375,15.895953757225435,0.6363151773599535,0.5923384428024292
10,74.57891149839352,65.15220354384371,50.72254335260116,28.179190751445088,22.54335260115607,0.6336195044108963,0.583536684513092
11,76.00038944601305,66.53793730122672,59.48940269749519,43.40077071290944,16.088631984585742,0.6108860334389664,0.5802790522575378
12,67.19890955116347,59.631985461154024,48.21772639691715,24.03660886319846,24.18111753371869,0.6317296032672638,0.5768976211547852
13,75.47463732840035,64.24352567014994,51.252408477842,29.72061657032755,21.53179190751445,0.6189291010967513,0.5666385889053345
14,75.71804108655438,65.49295774647888,57.61078998073218,39.64354527938343,17.967244701348747,0.6306894251184427,0.5711145401000977
15,76.64297536753968,65.53839164016357,57.80346820809249,38.872832369942195,18.930635838150287,0.6320474041751376,0.5800473690032959
16,77.21740823678319,66.5833711949114,55.8766859344894,35.45279383429673,20.423892100192678,0.633228451520711,0.568607747554779
17,79.3106805569078,67.51476601544752,57.03275529865125,40.99229287090559,16.040462427745663,0.5828012234208,0.5698769688606262
18,76.65271151786584,64.87960018173557,54.86512524084779,35.40462427745665,19.460500963391137,0.6035568908703237,0.5778335332870483
19,78.52205238048874,65.9700136301681,55.82851637764933,36.22350674373796,19.60500963391137,0.6102059169570451,0.5567408800125122
20,72.69983448544446,61.17673784643344,46.86897880539499,22.784200385356453,24.084778420038536,0.6235608802859758,0.5538741946220398
21,82.54308246519327,68.76419809177646,58.57418111753372,42.630057803468205,15.94412331406551,0.6042026352682375,0.5541190505027771
