,Train SPEAR CORR score,Train SPEAR Pval score,Test SPEAR CORR score,Test SPEAR Pval score,Whole SPEAR CORR score,Whole SPEAR Pval score,Test ERROR score,Train ERROR score,Whole ERROR score,training loss,hek293 spearman corr,hct116 spearman corr,hela spearman corr,hek293 P value,hct116 P value,hela P value
31,0.8499492196235238,0.0,0.07897315237977219,0.00031611376041664206,0.6700417380215005,0.0,0.034624580293893814,0.00881633535027504,0.017203036695718765,0.012092896737158298,0.6250050605690393,0.7608501761237555,0.7875141394152199,3.3926483054284526e-100,4.72574905829161e-161,0.0
32,0.9406797707568272,0.0,0.05590730222982367,0.01084136307666506,0.7495885964607759,0.0,0.023014502599835396,0.003158804029226303,0.011040709912776947,0.00519162742421031,0.8029760797902749,0.8124376572587999,0.8088811120895656,3.5393829864558406e-207,2.0604594631047284e-200,0.0
33,0.9574906580095945,0.0,0.08558628881868831,9.446052659642357e-05,0.7703804888660991,0.0,0.019446607679128647,0.0023215666878968477,0.009895804338157177,0.003474361961707473,0.8479883798019299,0.856475195830033,0.8191165036616,1.1064076901830584e-253,3.4740986880416043e-245,0.0
34,0.9411318254576384,0.0,0.084292638032672,0.00012046935139035185,0.7545725846175305,0.0,0.0253278948366642,0.011231131851673126,0.018564900383353233,0.004754711873829365,0.8278799415513705,0.8197193706052235,0.8094574081543952,3.096932169361951e-231,5.92291184547875e-207,0.0
35,0.8519143327613229,0.0,0.11658489758153945,9.987615333480606e-08,0.6770870123342013,0.0,0.04210764169692993,0.018141888082027435,0.026491589844226837,0.004388386383652687,0.6270763420471931,0.7691888863487636,0.7944390887269613,4.8359286933195705e-101,1.0418843808711607e-166,0.0
36,0.9497011902987387,0.0,0.08051173168953468,0.00024054623853464937,0.7599432007679955,0.0,0.02003326080739498,0.00222960882820189,0.00987051147967577,0.0039325072430074215,0.8275662648511984,0.8456337902142798,0.8164748963106793,6.571893013771302e-231,7.045286354203098e-233,0.0
37,0.9536633832558447,0.0,0.08724220121229617,6.884991304182093e-05,0.764208547650301,0.0,0.020608630031347275,0.002145882463082671,0.00988010037690401,0.0037709418684244156,0.8296243448449019,0.8292835757590628,0.8209220349659168,4.587806785350406e-233,5.206229860419322e-216,0.0
38,0.9458522327574916,0.0,0.06670095811796159,0.0023605912932580246,0.7550457574765773,0.0,0.02677120454609394,0.0027413798961788416,0.011053944937884808,0.0037952731363475323,0.7949292406719882,0.8131002850657394,0.8167196403874692,3.934664036143853e-200,5.377830208849845e-201,0.0
39,0.9451082964240256,0.0,0.07037710998347371,0.0013335972090326403,0.7605973193526898,0.0,0.02143467403948307,0.005114695057272911,0.012481794692575932,0.004389917012304068,0.8406870630858708,0.8358041108476698,0.8107182576730253,3.5836868076044814e-245,1.631498496753431e-222,0.0
40,0.9507191146245254,0.0,0.07711150793535101,0.0004371722316438256,0.764756974712297,0.0,0.02608659490942955,0.006096519995480776,0.013792077079415321,0.0036723122466355562,0.8254040817229722,0.839110480442451,0.8177210973024278,1.1276915373000191e-228,6.374414275335639e-226,0.0
41,0.9487358327563824,0.0,0.11164968828476075,3.3965466971452925e-07,0.7672548136556345,0.0,0.02088630013167858,0.0031918485183268785,0.010633298195898533,0.004187153652310371,0.8214139016157486,0.8461129937495292,0.818614947623628,1.2471073031116306e-224,2.109465598737551e-233,0.0
42,0.9531396289368946,0.0,0.08285362131360495,0.00015727176532662803,0.7653659239489314,0.0,0.019847657531499863,0.0020187823101878166,0.009657385759055614,0.0037877163849771023,0.8377603725634931,0.8477265212393859,0.8195731984979563,7.011282082377121e-242,3.527608768270029e-235,0.0
43,0.9457944244997013,0.0,0.10989910804645713,5.179440367235704e-07,0.7606188697904485,0.0,0.023851489648222923,0.006809718441218138,0.01433740183711052,0.003542996710166335,0.8137298675790526,0.8467266316707942,0.8187756813633953,4.0319845144078794e-217,4.476113348119202e-234,0.0
44,0.9284771736202074,0.0,0.015915798101413428,0.4685852113467326,0.7339098180778392,0.0,0.04158961772918701,0.005171723198145628,0.014829115010797977,0.0041639660485088825,0.7355747850892627,0.8002959681781617,0.8166115210459671,2.0467317579895686e-156,4.061558178409837e-190,0.0
45,0.9302187447543764,0.0,0.028131898612294814,0.20010260723150944,0.7366330944822832,0.0,0.031577009707689285,0.004441206809133291,0.013099437579512596,0.003094383515417576,0.7495829902518981,0.8046546806615851,0.8193134551410206,1.304644718978183e-165,9.922500617876069e-194,0.0
46,0.944255221070462,0.0,0.07810448653520227,0.0003680617535603934,0.7561076578639248,0.0,0.02113509364426136,0.002645408269017935,0.010346870869398117,0.004132422618567944,0.8105540304697805,0.8378747624786299,0.8195325576046911,4.056597269366488e-214,1.222296393373377e-224,0.0
47,0.9741449607095589,0.0,0.1215353960903239,2.779271826802595e-08,0.7879121270177085,0.0,0.018430668860673904,0.0009618168114684522,0.008513831533491611,0.002224479103460908,0.8621870949580261,0.856129659215227,0.8342546891432646,1.3579303240910168e-271,8.883090856058708e-245,0.0
48,0.9602298974619836,0.0,0.021408326301932096,0.3295826451143099,0.7656017710388647,0.0,0.023436937481164932,0.0018021933501586318,0.009848061949014664,0.002934312680736184,0.8152826921875249,0.8413515979840983,0.8243677561483297,1.3071422780897654e-218,2.81886144238719e-228,0.0
49,0.9043585928281125,0.0,0.12334512537364417,1.7188847669486444e-08,0.722602812237492,0.0,0.0380697101354599,0.007980452850461006,0.017133625224232674,0.005419294815510511,0.721365351585077,0.8191366182535773,0.8166503757740158,1.1411961650176529e-147,2.0270841761077202e-206,0.0
50,0.97036751663132,0.0,0.09074587580161937,3.462136118243492e-05,0.7820803938896862,0.0,0.019144074991345406,0.0016764869214966893,0.009309468790888786,0.002679607830941677,0.847763184479681,0.851931347036336,0.8321162281935094,2.0561725495508227e-253,6.588039678792946e-240,0.0
51,0.9725504283391211,0.0,0.0727743335350069,0.0009058963140725309,0.7832868127121759,0.0,0.01920662820339203,0.001080392743460834,0.00865560956299305,0.0029124487191438675,0.8680397530643473,0.8657739661283105,0.8253313457972403,1.4363464205105543e-279,1.408863271218222e-256,0.0
52,0.9587743194681392,0.0,0.040239046638586774,0.06679430504263023,0.7659829497949362,0.0,0.022042550146579742,0.0017842326778918505,0.009588442742824554,0.004033590201288462,0.8341613964454814,0.8364682735857533,0.8214831767993591,6.375826017121917e-238,3.4206099577131734e-223,0.0
