,Train SPEAR CORR score,Train SPEAR Pval score,Test SPEAR CORR score,Test SPEAR Pval score,Whole SPEAR CORR score,Whole SPEAR Pval score,Test ERROR score,Train ERROR score,Whole ERROR score,training loss,hct116 spearman corr,hela spearman corr,hl60 spearman corr,hct116 P value,hela P value,hl60 P value
29,0.8955144490523423,0.0,-0.07520882258690012,3.6216540638297544e-07,0.5918517930301561,0.0,0.027272876352071762,0.004939325153827667,0.01577906124293804,0.009142637252807617,0.7583903800906207,0.7418924689520149,0.7042692074329414,1.9904154617871732e-159,2.4328405671813246e-283,1.40726722381937e-63
30,0.8689493700830899,0.0,-0.07392769755932928,5.705378533429281e-07,0.5665838147303178,0.0,0.04802010953426361,0.018989181146025658,0.03133624419569969,0.011322823353111744,0.7208270826911242,0.7490391596791347,0.6764285142784753,7.962914253217174e-137,8.908042680675196e-292,5.932942238672036e-57
31,0.911213525505424,0.0,-0.07230395810505418,1.0042664452037392e-06,0.610138826081865,0.0,0.030794013291597366,0.005382679868489504,0.017084570601582527,0.009540382772684097,0.771019645952684,0.7755541244791078,0.6408825117848261,5.544339544354471e-168,0.0,1.737483123999718e-49
32,0.9523025472444742,0.0,-0.1020413059831395,4.8019110026735385e-12,0.6381721205199402,0.0,0.030663101002573967,0.0029824983794242144,0.015391943044960499,0.003998937085270882,0.855079057883075,0.8038540867266465,0.7617039825044506,1.5195424833222632e-243,0.0,4.807633865690246e-80
33,0.9206804463702309,0.0,-0.09077798912028988,7.9924176992101e-10,0.6097680564241329,0.0,0.03468921780586243,0.006812344770878553,0.01931462064385414,0.0040959748439490795,0.8076558252626908,0.8005146001151837,0.7123075589574679,2.8577278822574546e-196,0.0,1.2277752858903066e-65
34,0.9550034354910698,0.0,-0.0904031330825749,9.38116212648046e-10,0.6463975975936983,0.0,0.03132731840014458,0.004474333021789789,0.016696996986865997,0.005559824872761965,0.8522106159507968,0.805508611003199,0.7357436942012655,3.158661057058921e-240,0.0,4.553430673531954e-72
35,0.9495370958954592,0.0,-0.08029258943158539,5.546630902177753e-08,0.6411068302273298,0.0,0.03111683763563633,0.004100138787180185,0.01625080406665802,0.005355569999665022,0.8370828364014254,0.7969864026130358,0.7076359672225149,8.008846606789236e-224,0.0,1.969768308626332e-64
36,0.9496903704768334,0.0,-0.09626099626276481,7.12865518785675e-11,0.6365730735862767,0.0,0.03283507004380226,0.0033437353558838367,0.016198990866541862,0.004160451702773571,0.8458800384305433,0.8035236208059426,0.7635282135737194,3.793105551207414e-233,0.0,1.2108490067478864e-80
37,0.9392357430517997,0.0,-0.08168950423026479,3.245176546485494e-08,0.6332119423172478,0.0,0.0313420407474041,0.0033168774098157883,0.015816088765859604,0.004229783546179533,0.8144668952667825,0.7925598541604554,0.6964057113901093,3.3120634431304515e-202,0.0,1.2492273835975771e-61
38,0.9257720737480274,0.0,-0.08349468458736914,1.6022289147222733e-08,0.6149394477052497,0.0,0.03423696756362915,0.007210246287286282,0.01954594999551773,0.004511262755841017,0.8145657900932366,0.7944519947567036,0.7327381468319322,2.7046505014702646e-202,0.0,3.318981045714803e-71
