,Train SPEAR CORR score,Train SPEAR Pval score,Test SPEAR CORR score,Test SPEAR Pval score,Whole SPEAR CORR score,Whole SPEAR Pval score,Test ERROR score,Train ERROR score,Whole ERROR score,training loss,hek293 spearman corr,hct116 spearman corr,hela spearman corr,hl60 spearman corr,hek293 P value,hct116 P value,hela P value,hl60 P value
22,0.7912363817599563,0.0,0.3886040025906778,3.472159250146695e-137,0.6031015935582476,0.0,0.03583337366580963,0.015673184767365456,0.02496158517897129,0.007325927261263132,0.4026648893696743,0.39849019449825873,0.4200720361418361,0.12454944292943775,6.037761494398369e-37,1.1712263870974301e-33,2.6255922682718312e-70,0.01100361829982885
23,0.9011403340554002,0.0,0.41454427204687744,1.064271527634582e-157,0.6866962551346959,0.0,0.02456451952457428,0.0038453235756605864,0.013241141103208065,0.007559217978268862,0.45514871095048043,0.4749220809669586,0.39994042406506314,0.18815499963328688,6.171564552597449e-48,6.3640181884990034e-49,2.617493793108397e-63,0.00011310337729084203
24,0.8319316019088777,0.0,0.39377675858210337,3.936433900373912e-141,0.6342630495866177,0.0,0.030290916562080383,0.009917890653014183,0.019406529143452644,0.006674251984804869,0.3478376942865609,0.461004319124051,0.4091334403252872,0.2504553910161954,2.1777179341424325e-27,7.598085170474469e-46,1.9119781370411383e-66,2.2711269212462062e-07
25,0.8952586997326522,0.0,0.39533278329177685,2.4793750406850545e-142,0.6752164299109269,0.0,0.02649260312318802,0.005433637648820877,0.01500796526670456,0.006389971822500229,0.4181004107421862,0.48039566510453147,0.3769865627762733,0.24932074729465736,5.590149436944391e-40,3.5828455960939913e-50,6.738629171318279e-56,2.58498193796699e-07
26,0.9118030626218647,0.0,0.3958545033086516,9.778894563260756e-143,0.6873642917454689,0.0,0.02952473983168602,0.008380443789064884,0.017855718731880188,0.008279293775558472,0.466816481512704,0.45764579138828554,0.38152906687721627,0.13278665297604364,1.1861164252591541e-50,4.001265563579481e-45,2.5619639733067765e-57,0.006683871149039343
27,0.9178686349803087,0.0,0.4053151109391484,3.434824713505805e-150,0.6927084929097911,0.0,0.024174677208065987,0.0037434259429574013,0.01308081392198801,0.007395302411168814,0.48426350049807315,0.4838791322996855,0.37367694794681405,0.16319500470059542,6.476373852797712e-55,5.586727538061006e-51,7.06336658794352e-55,0.0008349318169366851
28,0.9164816918797,0.0,0.4187944861838881,3.0817279235094902e-161,0.6969713659621913,0.0,0.023507235571742058,0.003477187594398856,0.012661280110478401,0.007455876097083092,0.5054569907580807,0.47547167487017666,0.39707420784681957,0.1779855448356792,1.9524909183956815e-60,4.778490736633094e-49,2.375308167927684e-62,0.00026382099412583293
29,0.9213796521120776,0.0,0.40122825796561007,6.107999575574352e-147,0.6938776824756276,0.0,0.023729979991912842,0.003014401299878955,0.012442064471542835,0.007187982555478811,0.5083318025897792,0.46667001563716026,0.37403840552440054,0.11153096058834118,3.2463084817211236e-61,4.41789539817218e-47,5.47194672437546e-55,0.022902835310557916
30,0.9305090156290942,0.0,0.42122210199540117,2.7847334519330044e-163,0.7057630784585622,0.0,0.027663173153996468,0.00573831656947732,0.01572727970778942,0.005444741807878017,0.48545738617397216,0.474058967538307,0.4023809356951857,0.19841729952460646,3.2398862977940306e-55,9.970195388627923e-49,3.934136292345051e-64,4.5945711847075956e-05
31,0.9281685701110851,0.0,0.39028673516941015,1.8402280225676137e-138,0.6979889685822822,0.0,0.03786247968673706,0.015565850771963596,0.0255848690867424,0.00790958758443594,0.4836049035845299,0.465222723158043,0.3691424745461068,0.059207332928837654,9.478915079013729e-55,9.183931997861643e-47,1.6901621376522527e-53,0.22819515431397808
32,0.9354268263212056,0.0,0.42469755761094374,3.083688417770532e-166,0.7128809630151853,0.0,0.031990088522434235,0.01075964979827404,0.020323777571320534,0.006114481016993523,0.488002695240211,0.5083820056145322,0.3905402718029303,0.23623992372367167,7.332454598594338e-56,6.299762266960042e-57,3.343466388559418e-60,1.0990818301804542e-06
33,0.9417272461283372,0.0,0.4236281548245069,2.524971656764213e-165,0.7147818384332597,0.0,0.026487257331609726,0.005075138993561268,0.014859220944344997,0.003912807442247868,0.4798827293277012,0.5231339336590067,0.3882009179776381,0.22522752882031727,8.03425371343646e-54,9.507446280915868e-61,1.91291431343341e-59,3.48944647648719e-06
34,0.8670387254881379,0.0,0.3878168697226677,1.3639197724822256e-136,0.6581972313918638,0.0,0.030711574479937553,0.00858505629003048,0.018551522865891457,0.004281706176698208,0.44386898545083253,0.4354930550835082,0.38112212688440167,0.11616921476720386,2.0801242085792892e-45,1.4606855621041187e-40,3.441166565273892e-57,0.017773791185856643
35,0.9232564581095657,0.0,0.42418676043805853,8.42681738907583e-166,0.7042206913122748,0.0,0.025688057765364647,0.0036159981973469257,0.013603691942989826,0.003992864396423101,0.4979596162818811,0.4809311691269932,0.4104281621852385,0.1277285122782219,1.941215895210354e-58,2.696272442442506e-50,6.788815110347262e-67,0.009106970335601424
36,0.9502990642643777,0.0,0.4261013964601059,1.9287458665245868e-167,0.7230196661868733,0.0,0.023961162194609642,0.0020695910789072514,0.011962744407355785,0.003490165341645479,0.5101999698000327,0.4988674889368239,0.39628988269747323,0.17745647782052393,1.0023790729802578e-61,1.4668990147031574e-54,4.326979684512764e-62,0.00027536637541749134
37,0.9341116141333009,0.0,0.4275261742023116,1.1420039757927644e-168,0.7112563949171828,0.0,0.024592183530330658,0.002680110512301326,0.012630182318389416,0.005711797624826431,0.5076651433410895,0.47289486001592773,0.4101101867432212,0.17432591461585134,4.9288607282777766e-61,1.8230048498842603e-48,8.758274837591696e-67,0.00035391888145217015
38,0.9441698202381346,0.0,0.42109314410007675,3.579215977670619e-163,0.7172896753406267,0.0,0.029011990875005722,0.006924337241798639,0.01697874255478382,0.004664692562073469,0.4673628815244722,0.49955892622061726,0.40248741396217885,0.19632336762656605,8.796906573331284e-51,9.928547785954112e-55,3.6206263794555165e-64,5.542714817725675e-05
39,0.9494789162121465,0.0,0.4386981067009563,1.677020068047212e-178,0.7244815880611258,0.0,0.023864099755883217,0.0026062671095132828,0.012385751120746136,0.003484994638711214,0.5136395537093593,0.5195355040568993,0.3966175214623493,0.2503130396516892,1.1299411658002047e-62,8.46364634444808e-60,3.3687247042712924e-62,2.3083899543568376e-07
