,Train SPEAR CORR score,Train SPEAR Pval score,Test SPEAR CORR score,Test SPEAR Pval score,Whole SPEAR CORR score,Whole SPEAR Pval score,Test ERROR score,Train ERROR score,Whole ERROR score
0,0.030649273103458274,0.008869416878938118,-0.008358594565088466,0.45192057650534945,0.020340440175793485,0.03386055462215991,0.10155784338712692,0.13829900324344635,0.13780079782009125
1,0.03165148534726649,0.006878606027525502,0.003715113866940517,0.7381302219288384,0.017025446273162544,0.07575210999570149,0.07973754405975342,0.06983746588230133,0.06975185871124268
2,0.05474596846554076,2.9110414459751154e-06,0.13695046615765036,3.239118246999541e-35,0.03832121156754362,6.37794507503973e-05,0.09180919826030731,0.06065079942345619,0.06013638898730278
3,0.126930152954082,1.4410338503052643e-27,0.2182780186355282,5.663734839839378e-88,0.11139459621881515,2.1701901937713737e-31,0.05128200724720955,0.06035467982292175,0.060169704258441925
4,0.18722122904303823,1.6952624988459095e-58,0.20693340955377615,4.588788372102189e-79,0.16316310686092056,8.44197802289226e-66,0.04309152066707611,0.0298430398106575,0.029716856777668
5,0.20321260840541627,8.333148729966121e-69,0.24884182687665854,1.355605207203348e-114,0.1792996340772019,2.7275992896500405e-79,0.03418637812137604,0.023914290592074394,0.023868367075920105
6,0.17316837207017374,3.525253516740467e-50,0.222101437043844,4.300554756593124e-91,0.14573000192693744,1.0190611623533381e-52,0.03606383502483368,0.02337041310966015,0.023407643660902977
7,0.16219969261851414,3.6771143230463747e-44,0.24514025500398318,3.658528833509336e-111,0.13073423647459573,1.0966815648209467e-42,0.03794434666633606,0.02789994515478611,0.027756961062550545
8,0.18808132389747145,4.986201848021457e-59,0.24455327570848176,1.265013758802921e-110,0.16269540703064467,1.9839519066459753e-65,0.03496457263827324,0.022105643525719643,0.022051118314266205
9,0.21465438816789434,9.660823302145761e-77,0.28655214693949027,6.404920712190074e-153,0.19230741489188313,3.7809666577027637e-91,0.03145617991685867,0.01971697434782982,0.019731801003217697
10,0.24299565361660844,1.8442024688064658e-98,0.2648475053924906,4.197540997188773e-130,0.208896874482237,1.4392418553424686e-107,0.03456497937440872,0.021050671115517616,0.021020468324422836
11,0.23396410792810982,3.2407697863096415e-91,0.27327263436174276,1.0318828280503634e-138,0.20297507828718053,1.5403395113170805e-101,0.03253134340047836,0.02001403644680977,0.02002793923020363
12,0.24045373629683123,2.166941549556934e-96,0.2652802998181552,1.542737705063057e-130,0.20040572228057568,5.563567470546764e-99,0.03668692335486412,0.021956227719783783,0.021903567016124725
13,0.2545616225189121,3.445267525779926e-108,0.2820755397245536,4.828464972734037e-148,0.21635277745635664,1.9865025201228898e-115,0.031248262152075768,0.019201844930648804,0.019389573484659195
14,0.2750894755840194,9.930322777774305e-127,0.281717876677159,1.1738319579155132e-147,0.23535072675267782,7.897975607770148e-137,0.031323302537202835,0.01879023388028145,0.018906328827142715
15,0.2261983249918433,3.139013165532338e-85,0.289173481608945,8.102484401803298e-156,0.19301317885193886,8.106360965767128e-92,0.0332009494304657,0.01999536342918873,0.020039858296513557
16,0.2294463144718073,1.0479008127336264e-87,0.28455320954537466,9.896955408751142e-151,0.20208410748986225,1.1982450116723787e-100,0.031674351543188095,0.019643509760499,0.019655244424939156
17,0.2664340457998929,1.0363126951320098e-118,0.28750521635352644,5.708037291184325e-154,0.23122123196166364,5.232493387394955e-132,0.03134622797369957,0.01893792115151882,0.019005028530955315
18,0.22231933542880875,2.5317893153033536e-82,0.2796837853377987,1.789892219104319e-145,0.1963681874085555,4.939314822758108e-95,0.03139489144086838,0.0198511965572834,0.019899733364582062
19,0.22281391658845448,1.0861747930344563e-82,0.28949210645951895,3.583081545017179e-156,0.1971323129787284,8.975627420538547e-96,0.03169042617082596,0.024089230224490166,0.024083375930786133
