,Train SPEAR CORR score,Train SPEAR Pval score,Test SPEAR CORR score,Test SPEAR Pval score,Whole SPEAR CORR score,Whole SPEAR Pval score,Test ERROR score,Train ERROR score,Whole ERROR score
0,0.03179035790411118,0.006637010042822604,0.028387537768371877,0.010613999601765955,0.03672085056280971,0.00012747908842169618,0.19775599241256714,0.6249018907546997,0.6196861267089844
1,0.05074423851517812,1.4597985311251507e-05,0.10705384483177549,4.383996814767637e-22,0.050907858197129556,1.0775391760175477e-07,0.0900413990020752,0.14436203241348267,0.14241020381450653
2,0.17676384698589495,3.050082370729609e-52,0.24972099212319798,2.0354955033004066e-115,0.15701276600774133,5.2158439090317343e-61,0.051696181297302246,0.0553128719329834,0.05499237775802612
3,0.34693593457141303,2.944928819793637e-205,0.28416262606989445,2.637059172024323e-150,0.2859702604548487,7.556181733772385e-204,0.03969424590468407,0.026050997897982597,0.026782460510730743
4,0.477316729603031,0.0,0.3035394501374694,2.949822735156394e-172,0.38805920911700403,0.0,0.031243203207850456,0.0165241789072752,0.017950138077139854
5,0.45887167452745775,0.0,0.287279583459034,1.0126151991322032e-153,0.3680891723994504,0.0,0.031919002532958984,0.01870088279247284,0.020656179636716843
6,0.5948775273022261,0.0,0.28023500454231765,4.6027742406579355e-146,0.472727405762996,0.0,0.031081583350896835,0.012764154933393002,0.01558325719088316
7,0.609283284885982,0.0,0.31999339910920616,2.879750141414029e-192,0.48209189358304705,0.0,0.03202661871910095,0.012210709042847157,0.015705708414316177
8,0.6977963060899042,0.0,0.2877347273061573,3.184301085043086e-154,0.5464708303732962,0.0,0.034255485981702805,0.010545462369918823,0.014633048325777054
9,0.7782362346661515,0.0,0.3009433784933564,3.2421749498430804e-169,0.6117736219062294,0.0,0.03630154952406883,0.00972787756472826,0.014329763129353523
10,0.8440778189376779,0.0,0.3328571906581093,8.135027079830845e-209,0.6748787352924764,0.0,0.03085225075483322,0.006641876883804798,0.011593960225582123
11,0.7872480713997514,0.0,0.3453275966237859,1.2235000913884653e-225,0.6305710956780722,0.0,0.030264724045991898,0.007374100852757692,0.012570335529744625
12,0.7833369614679806,0.0,0.35121085218283693,7.559455662111483e-234,0.6228093740227871,0.0,0.044776927679777145,0.013479880057275295,0.01893264800310135
13,0.7949975038594593,0.0,0.34249755472254556,9.414385344791538e-222,0.6316545111794427,0.0,0.031769461929798126,0.006634456571191549,0.012261356227099895
14,0.7218097478815683,0.0,0.346574372169397,2.3049909785278754e-227,0.5740076869936244,0.0,0.03774818032979965,0.014413543045520782,0.02043936774134636
15,0.8960580789377999,0.0,0.37133325568120534,2.76685934401502e-263,0.7225697623580986,0.0,0.029773365706205368,0.0032523402478545904,0.009034376591444016
16,0.7950246885062129,0.0,0.3616612976772988,7.187656704064689e-249,0.6367859244361734,0.0,0.03628793731331825,0.009548172354698181,0.015201151371002197
17,0.860128488457462,0.0,0.3618907862508893,3.313702385312971e-249,0.6904935028871642,0.0,0.032937631011009216,0.007614847272634506,0.013464447110891342
18,0.8850170003222919,0.0,0.3657605201351946,6.427650157213068e-255,0.7105345090282835,0.0,0.03597304970026016,0.006488187238574028,0.012697194702923298
19,0.8267451291230579,0.0,0.3684677536145089,5.815093797384576e-259,0.6687892293928074,0.0,0.03282058611512184,0.010309837758541107,0.01602315716445446
