,training set Accuracy,development set Accuracy,test set Accuracy,test set True positive ratio,test set True negative ratio,test AUC score
0,58.916317618750554,56.87280583310829,54.08219178082192,30.63013698630137,23.45205479452055,0.5809704723137559
1,67.51626414758043,63.651093707804485,63.34246575342466,45.80821917808219,17.534246575342465,0.6130807003941332
2,70.35023616433473,65.21739130434783,65.31506849315069,50.02739726027398,15.287671232876713,0.644861407249467
3,65.27938686391586,59.33027275182285,59.01369863013699,32.49315068493151,26.52054794520548,0.6458170188020935
4,66.00124766063631,58.8711855252498,59.12328767123287,32.43835616438356,26.684931506849313,0.6537772178070684
5,73.77239105249086,64.92033486362409,64.98630136986301,42.02739726027397,22.95890410958904,0.6723337856173678
6,75.8488548257731,66.3786119362679,65.20547945205479,45.75342465753425,19.45205479452055,0.6572694966724818
7,76.64201051599679,67.8368890089117,66.46575342465754,48.71232876712329,17.753424657534246,0.6589842992828068
8,76.97174939844935,65.8115041857953,66.35616438356165,45.31506849315068,21.04109589041096,0.6758525554047943
9,78.39764726851439,66.89170942479072,66.08219178082192,45.64383561643835,20.43835616438356,0.6793745557924662
10,78.6828268425274,67.75587361598704,67.06849315068493,51.013698630136986,16.054794520547947,0.661752277573173
11,79.15515551198645,67.80988387793681,66.84931506849315,48.821917808219176,18.027397260273972,0.6640240356658267
12,79.43142322431156,66.3786119362679,66.41095890410959,44.54794520547945,21.863013698630137,0.6818815015829941
13,71.21468674806167,60.68052930056711,60.16438356164383,33.6986301369863,26.465753424657535,0.6618743942624539
14,79.68095535157295,67.29678638941398,66.02739726027397,44.986301369863014,21.04109589041096,0.6727957614524778
15,78.70956242759112,64.51525789900082,63.50684931506849,40.6027397260274,22.904109589041095,0.6711449247270143
16,81.12467694501382,67.02673507966513,67.5068493150685,45.369863013698634,22.136986301369863,0.6786593008981069
17,81.82871401835844,68.86308398595733,69.64383561643835,51.56164383561644,18.08219178082192,0.69587000064612
18,81.40094465733891,66.18957601944369,65.86301369863014,42.35616438356165,23.506849315068493,0.6830251340699101
19,83.30808305855093,67.6208479611126,67.45205479452055,46.73972602739726,20.712328767123285,0.6828603734573884
20,83.91408965332859,68.32298136645963,68.76712328767123,47.89041095890411,20.876712328767123,0.6917464624927312
21,81.00882274307104,65.91952470969484,64.98630136986301,40.71232876712329,24.273972602739725,0.6861329715061059
22,80.53649407361198,64.70429381582501,66.13698630136986,41.04109589041096,25.095890410958905,0.6860056858564321
23,84.4844488013546,68.5660275452336,67.3972602739726,46.24657534246575,21.15068493150685,0.6790818634102216
24,81.6593886462882,66.83769916284093,64.87671232876713,40.6027397260274,24.273972602739725,0.6640518188279382
25,83.63782194100348,69.75425330812854,68.71232876712328,49.80821917808219,18.904109589041095,0.6765025521741941
26,84.85874699224668,68.5660275452336,67.89041095890411,47.561643835616444,20.328767123287673,0.6846572333139498
27,78.91453524641298,63.2460167431812,63.013698630136986,37.47945205479452,25.53424657534247,0.6690954319312528
28,84.44880135460298,67.21577099648933,67.2876712328767,45.80821917808219,21.47945205479452,0.6801641144924727
29,86.57873629801266,69.51120712935457,68.54794520547945,48.32876712328767,20.21917808219178,0.6872384829101248
30,86.3737634791908,69.61922765325413,68.76712328767123,48.21917808219178,20.54794520547945,0.6905886153647347
31,85.01916050262899,68.89008911693222,68.32876712328768,48.21917808219178,20.10958904109589,0.6866679589067649
32,85.1439265662597,68.24196597353497,67.56164383561644,45.20547945205479,22.356164383561644,0.695826064482781
33,86.41832278763033,68.0259249257359,66.35616438356165,45.09589041095891,21.26027397260274,0.6808890611875686
34,86.35593975581499,68.24196597353497,67.56164383561644,45.80821917808219,21.753424657534246,0.6947192608386639
35,86.81044470189822,68.94409937888199,68.93150684931507,49.205479452054796,19.726027397260275,0.6926859210441298
36,86.27573300062383,70.34836618957601,68.71232876712328,49.698630136986296,19.013698630136986,0.6811707695289786
37,87.22930220122984,69.07912503375641,67.2876712328767,47.342465753424655,19.945205479452056,0.6877508561090651
38,87.26494964798147,69.02511477180664,67.34246575342466,45.58904109589041,21.753424657534246,0.6924998384699877
39,86.6322074681401,69.4571968674048,69.64383561643835,51.178082191780824,18.465753424657535,0.6873431543580797
40,88.09375278495678,69.80826357007831,68.82191780821918,50.301369863013704,18.52054794520548,0.6876500613814047
41,87.96007485963818,69.61922765325413,68.43835616438356,49.589041095890416,18.84931506849315,0.6850752729857207
42,86.4896176811336,67.72886848501216,66.9041095890411,43.67123287671233,23.232876712328768,0.6961310331459586
43,85.73210943766153,67.59384283013773,67.3972602739726,44.54794520547945,22.84931506849315,0.685507527298572
44,87.7105427323768,69.16014042668107,68.54794520547945,47.94520547945205,20.602739726027398,0.692648446081282
45,88.26307815702701,69.13313529570618,68.10958904109589,46.24657534246575,21.863013698630137,0.7070866446985851
46,88.7977898583014,70.86146367809883,69.69863013698631,51.23287671232877,18.465753424657535,0.6871777476255088
47,84.93004188574993,65.59546313799622,64.21917808219179,39.50684931506849,24.71232876712329,0.6840169283452866
48,83.73585241957045,64.94733999459898,65.15068493150686,39.83561643835616,25.315068493150683,0.6786399172966338
49,86.30246858568755,66.75668376991628,65.91780821917808,42.794520547945204,23.123287671232877,0.6833462557343154
50,87.4610106051154,68.10694031866055,66.95890410958904,43.50684931506849,23.45205479452055,0.6872365445499775
51,89.2077354959451,70.29435592762626,69.69863013698631,49.534246575342465,20.164383561643838,0.6922194223686762
52,89.48400320827021,69.75425330812854,69.42465753424656,49.31506849315068,20.10958904109589,0.6928287135749822
53,87.93333927457446,68.3769916284094,67.12328767123287,44.87671232876712,22.246575342465754,0.6937610648058409
54,89.3503252829516,70.56440723737511,69.36986301369863,51.89041095890411,17.47945205479452,0.6880958842152871
55,89.68897602709205,70.13232514177695,68.93150684931507,49.31506849315068,19.616438356164384,0.6955857078245138
56,89.52856251670974,70.72643802322442,69.2054794520548,50.68493150684932,18.52054794520548,0.6890637720488466
57,88.50369842260048,70.51039697542532,70.73972602739727,53.0958904109589,17.643835616438356,0.6832570911675389
58,88.73540682648606,69.4571968674048,70.08219178082193,49.47945205479452,20.602739726027398,0.690399302190347
59,88.47696283753676,68.0259249257359,67.34246575342466,44.986301369863014,22.356164383561644,0.6877515022291141
60,88.61955262454326,69.18714555765595,67.06849315068493,45.86301369863014,21.205479452054796,0.6917613232538606
61,81.35638534889938,63.32703213610586,63.178082191780824,36.43835616438356,26.73972602739726,0.684688893196356
62,89.885036984226,69.72724817715365,68.87671232876713,47.89041095890411,20.986301369863014,0.7020029721522258
63,89.59985741021299,70.59141236834998,70.08219178082193,52.821917808219176,17.26027397260274,0.7010764360018091
64,88.41457980572142,68.48501215230894,67.94520547945206,44.76712328767123,23.17808219178082,0.6974458874458874
65,85.4469298636485,65.83850931677019,65.58904109589041,40.0,25.589041095890412,0.6883976222782193
66,89.33250155957579,69.75425330812854,69.26027397260273,49.42465753424658,19.835616438356166,0.6883207339923758
67,87.7105427323768,67.10775047258979,68.38356164383562,44.87671232876712,23.506849315068493,0.6972966337145441
68,88.86017289011676,69.1061301647313,69.15068493150685,46.630136986301366,22.52054794520548,0.6935103702267882
69,88.92255592193209,70.69943289224952,70.24657534246576,54.02739726027397,16.21917808219178,0.6906008916456677
70,88.46805097584885,68.43100189035917,68.6027397260274,46.19178082191781,22.41095890410959,0.6921037668798862
71,89.42162017645487,69.16014042668107,67.89041095890411,47.12328767123288,20.767123287671232,0.6842915293661562
72,89.2077354959451,69.05211990278153,68.82191780821918,46.465753424657535,22.356164383561644,0.6959417199715707
73,90.00980304785669,70.26735079665136,69.69863013698631,52.602739726027394,17.095890410958905,0.6837623570459391
74,88.95820336868371,68.13394544963543,67.3972602739726,43.83561643835616,23.56164383561644,0.6869199457259159
75,89.42162017645487,69.1061301647313,68.82191780821918,49.31506849315068,19.506849315068493,0.6891425986948374
76,90.86534176989574,68.78206859303268,69.86301369863014,49.589041095890416,20.273972602739725,0.6938134005298184
77,90.6960163978255,70.42938158250067,70.24657534246576,51.013698630136986,19.232876712328768,0.7028409898559153
78,91.02575528027805,69.26816095058061,68.87671232876713,48.38356164383561,20.493150684931507,0.6972507591910576
79,90.42866054718831,70.32136105860114,69.97260273972603,52.76712328767124,17.205479452054796,0.6870750145377011
80,88.62846448623117,69.78125843910344,70.13698630136986,55.12328767123288,15.013698630136988,0.6819441752277573
81,90.1345691114874,69.34917634350526,69.2054794520548,48.986301369863014,20.21917808219178,0.6852904309620728
82,90.33954193030924,69.94328922495274,68.98630136986301,49.26027397260274,19.726027397260275,0.6927951153324288
83,90.94554852508689,69.8622738320281,68.71232876712328,47.83561643835617,20.876712328767123,0.6963397299218195
84,89.90286070760182,70.10532001080205,70.52054794520548,51.50684931506849,19.013698630136986,0.6942430703624733
85,90.9633722484627,69.59222252227923,68.65753424657535,48.38356164383561,20.273972602739725,0.6910828972023002
86,90.63363336601016,69.80826357007831,68.71232876712328,48.21917808219178,20.493150684931507,0.6910486528396977
87,86.83718028696194,67.08074534161491,67.2876712328767,42.3013698630137,24.986301369863014,0.7041991341991342
88,88.96711523037163,68.45800702133405,67.17808219178082,44.273972602739725,22.904109589041095,0.6862253666731278
89,89.93850815435344,70.15933027275182,69.97260273972603,51.45205479452055,18.52054794520548,0.6896846934160367
90,90.82969432314411,71.32055090467189,69.75342465753425,51.61643835616439,18.136986301369863,0.6900038767202947
91,91.17725692897245,69.80826357007831,68.98630136986301,48.87671232876713,20.10958904109589,0.6837306971635331
92,91.44461277960966,70.80745341614907,69.42465753424656,50.73972602739726,18.684931506849313,0.6906971635329844
93,91.43570091792176,70.96948420199838,70.52054794520548,51.61643835616439,18.904109589041095,0.6878904180396719
94,90.77622315301667,70.69943289224952,70.35616438356165,51.45205479452055,18.904109589041095,0.694997738579828
95,90.78513501470458,68.45800702133405,68.6027397260274,45.534246575342465,23.068493150684933,0.7013200232603218
96,90.49995544069156,70.29435592762626,70.63013698630137,51.671232876712324,18.958904109589042,0.6993344963494217
97,91.0970501737813,70.32136105860114,70.46575342465754,50.73972602739726,19.726027397260275,0.6996465723331394
98,91.04357900365386,70.15933027275182,69.97260273972603,50.301369863013704,19.67123287671233,0.6972817729534148
99,90.88316549327155,69.21415068863084,69.86301369863014,48.54794520547945,21.315068493150687,0.7069832654907281
100,90.64254522769806,70.02430461787739,69.80821917808218,52.38356164383562,17.424657534246577,0.6903017380629322
101,90.09000980304785,70.4023764515258,69.80821917808218,54.30136986301369,15.506849315068493,0.6807753440589261
102,91.25746368416362,69.91628409397785,70.02739726027397,51.94520547945205,18.08219178082192,0.6855960457452994
103,91.48026022636128,70.15933027275182,70.08219178082193,51.45205479452055,18.63013698630137,0.6934380047812883
104,91.81891097050173,69.80826357007831,70.30136986301369,50.90410958904109,19.397260273972602,0.6997376752600633
105,91.17725692897245,70.05130974885229,71.06849315068493,53.15068493150685,17.917808219178085,0.6940350197066615
106,90.21477586667855,68.5660275452336,68.43835616438356,45.31506849315068,23.123287671232877,0.7047044000775343
107,91.01684341859014,69.80826357007831,70.46575342465754,51.06849315068494,19.397260273972602,0.6994643664792919
108,90.44648427056413,68.70105320010802,67.56164383561644,44.602739726027394,22.95890410958904,0.6955359565807328
109,90.79404687639247,69.51120712935457,68.16438356164383,46.24657534246575,21.91780821917808,0.6988382761517091
110,91.34658230104269,70.10532001080205,69.69863013698631,50.465753424657535,19.232876712328768,0.6855824772242683
111,91.67632118349523,70.91547394004861,70.73972602739727,52.93150684931507,17.80821917808219,0.694542223945209
112,91.29311113091525,70.32136105860114,68.98630136986301,50.52054794520547,18.465753424657535,0.693435420301092
113,90.37518937706088,68.07993518768566,67.45205479452055,45.42465753424658,22.027397260273972,0.6855592169025004
114,90.75839942964086,70.69943289224952,69.86301369863014,52.71232876712328,17.15068493150685,0.6905459714414939
115,89.84938953747438,70.99648933297327,70.46575342465754,54.13698630136986,16.328767123287673,0.6908095884215286
116,91.46243650298548,68.94409937888199,69.47945205479452,48.10958904109589,21.36986301369863,0.6939549008205725
117,91.06140272702967,68.94409937888199,68.82191780821918,47.561643835616444,21.26027397260274,0.70041157847128
118,91.97041261919615,69.78125843910344,69.53424657534246,49.15068493150685,20.383561643835616,0.705280093041287
119,89.92959629266554,68.59303267620848,67.83561643835615,45.64383561643835,22.19178082191781,0.6946436647929185
120,85.91034667141966,66.05455036456927,64.65753424657534,40.0,24.65753424657534,0.6822187762486269
121,90.79404687639247,68.94409937888199,68.16438356164383,48.16438356164384,20.0,0.688020934289591
122,89.63550485696462,68.83607885498245,67.72602739726027,46.3013698630137,21.424657534246574,0.6864108031272211
123,91.39114160948222,69.05211990278153,68.76712328767123,47.342465753424655,21.424657534246574,0.6981268979776443
124,89.63550485696462,67.10775047258979,67.83561643835615,44.54794520547945,23.28767123287671,0.6862531498352394
125,90.24151145174227,67.40480691331354,68.05479452054794,44.43835616438356,23.616438356164384,0.6943858628933255
126,91.15943320559666,68.16095058061032,68.4931506849315,46.24657534246575,22.246575342465754,0.6953220908444789
127,91.9080295873808,70.02430461787739,68.98630136986301,49.26027397260274,19.726027397260275,0.6937410350843187
128,90.34845379199716,69.24115581960572,69.2054794520548,46.794520547945204,22.41095890410959,0.6961743231892487
