,training set Accuracy,training set Precittion,training set Recall,training set F1 score,development set Accuracy,development set Precittion,development set Recall,development set F1 score,test set Accuracy,test set Precittion,test set Recall,test set F1 score,training set True positive ratio,training set True negative ratio,training set False positive ratio,training set False negative ratio,development set True positive ratio,development set True negative ratio,development set False positive ratio,development set False negative ratio,test set True positive ratio,test set True negative ratio,test set False positive ratio,test set False negative ratio,test AUC score,whole AUC score,loss,hek293 AUC score,hct116 AUC score,hela AUC score,hl60 AUC score
0,66.65244747787139,75.70214338507022,69.334912844813,72.3787651267556,63.50746268656716,73.38286713286713,66.18052818289318,69.5958549222798,62.35083532219571,73.88137356919874,65.13761467889908,69.23451974646512,43.69201237069425,22.960435107177133,14.023674949344139,19.323877572784472,41.766169154228855,21.741293532338307,15.149253731343284,21.343283582089555,42.36276849642005,19.988066825775654,14.976133651551313,22.673031026252982,0.6416229608291324,0.6736584287124303,0.6397855281829834,0.44214382109118944,0.6904373938667466,0.6702588476066386,0.6592916559471743
1,67.59091393835982,73.86892880904857,75.15654086985954,74.50717221709589,64.50248756218906,71.51162790697676,72.72368939692551,72.11256595661521,64.82696897374701,73.28990228013029,72.24770642201835,72.76507276507277,47.36056307987629,20.230350858483522,16.753759198037752,15.655326863602431,45.8955223880597,18.606965174129353,18.28358208955224,17.213930348258707,46.98687350835322,17.840095465393794,17.124105011933175,18.048926014319807,0.6412564188871842,0.670728114926398,0.616047203540802,0.4429438982070561,0.6688829787234043,0.6758605769863518,0.6737415316010633
2,72.0379652340834,80.4521030201964,73.48113047893044,76.8087741022466,64.60199004975125,73.88507718696398,67.91486007094994,70.77428630108852,64.55847255369929,75.59339525283798,67.20183486238533,71.15104419621176,46.30478831182681,25.733176922256582,11.25093313426469,16.711101631651914,42.86069651741293,21.741293532338307,15.149253731343284,20.248756218905474,43.705250596658715,20.853221957040574,14.110978520286396,21.33054892601432,0.6669943952155807,0.7105945225579676,0.6017193794250488,0.43138615770194716,0.7205792378383779,0.6948052802674353,0.7144041391533031
3,73.98954889623546,79.45670628183362,79.20121848028431,79.32875667429443,66.46766169154229,73.3228717143978,73.66968860859284,73.49587101848212,65.1252983293556,73.63253856942497,72.24770642201835,72.93354943273907,49.9093526714301,24.080196224805377,12.903913831715903,13.10653727204863,46.492537313432834,19.975124378109452,16.91542288557214,16.616915422885572,46.98687350835322,18.138424821002385,16.82577565632458,18.048926014319807,0.660224817609669,0.7232751786199584,0.5980225205421448,0.42754964333911705,0.7190902507242034,0.690849521590924,0.6956950518823428
4,73.93622693825317,84.21884258344855,72.1611101709257,77.72511848341233,64.12935323383084,75.76470588235294,63.46078044934963,69.06906906906907,62.828162291169456,76.38418079096046,62.018348623853214,68.45569620253164,45.47296576730297,28.4632611709502,8.520848885571079,17.54292417617575,40.049751243781095,24.079601990049753,12.810945273631841,23.059701492537314,40.334128878281625,22.49403341288783,12.47016706443914,24.701670644391406,0.6698558881548048,0.7375610558246948,0.5844897627830505,0.4390399074609601,0.7295474977524723,0.7050578434082204,0.6757139181888345
5,76.03711208275567,83.69525211630476,76.96733795904552,80.19042581327692,65.34825870646766,74.67644521138914,68.23019314150571,71.30792996910401,64.97613365155132,75.82135523613964,67.75229357798165,71.56007751937985,48.50165298069745,27.53545910205823,9.448650954463048,14.514236962781274,43.059701492537314,22.28855721393035,14.601990049751242,20.049751243781095,44.06324582338902,20.91288782816229,14.051312649164677,20.97255369928401,0.6712210758681154,0.7390611634588373,0.5803677439689636,0.4199440909967226,0.7308991359504546,0.7034085824087601,0.698796558328331
6,75.88781060040525,85.41747572815534,74.44576070401084,79.55511348223166,64.22885572139303,75.47519703291609,64.17027985810012,69.36514699616532,64.05131264916469,76.88913403199118,63.944954128440365,69.8221888304533,46.912658632825,28.97515196758025,8.008958088941027,16.103231310653726,40.49751243781095,23.731343283582092,13.159203980099502,22.611940298507463,41.58711217183771,22.46420047732697,12.5,23.448687350835325,0.6753677161286282,0.7480924103743267,0.5646871328353882,0.4045112781954887,0.7450554390170812,0.7071825522170015,0.7087442472057858
7,78.86317585581743,83.9764665166984,82.1289558300897,83.04243668720056,66.01990049751244,72.89792725850606,73.47260543949547,73.18413820180606,66.79594272076372,75.24846190250828,72.93577981651376,74.07407407407406,51.75429241761758,27.10888343819985,9.875226618321426,11.26159752586115,46.3681592039801,19.65174129353234,17.238805970149254,16.741293532338307,47.43436754176611,19.361575178997615,15.602625298329356,17.60143198090692,0.6823973760841657,0.7633502993514071,0.5652910470962524,0.4258241758241758,0.7474028568574568,0.7123261078427501,0.7250807535088473
8,79.62034765916604,87.37845923709799,79.08275511930952,83.0238962423381,65.22388059701493,75.57251908396947,66.33819471817107,70.65491183879095,64.4689737470167,76.65768194070081,65.22935779816514,70.48327137546467,49.83470193025488,29.785645728911163,7.19846432761011,13.181188013223846,41.865671641791046,23.35820895522388,13.532338308457712,21.243781094527364,42.42243436754177,22.046539379474943,12.91766109785203,22.613365155131266,0.6785149278266587,0.7715509897038559,0.5652212500572205,0.4254578754578755,0.7504089251822995,0.7014467432647635,0.730912157333562
9,80.91073904233764,87.10142316699694,81.82433575901167,84.38045375218151,66.26865671641791,74.73816506074571,70.31927473393772,72.46141348497159,65.90095465393794,76.25316455696203,69.08256880733946,72.49097472924187,51.562333368881305,29.34840567345633,7.6357043830649465,11.45355657459742,44.37810945273632,21.890547263681594,15.0,18.73134328358209,44.92840095465394,20.97255369928401,13.99164677804296,20.107398568019093,0.6864324686100761,0.7764022801408568,0.5589057207107544,0.420561017929439,0.7465787633603036,0.7272418433555756,0.7011691392962296
