,training set Accuracy,development set Accuracy,test set Accuracy,test set True positive ratio,test set True negative ratio,test AUC score,loss
0,66.65244747787139,63.50746268656716,62.35083532219571,42.36276849642005,19.988066825775654,0.6416229608291324,0.6397855281829834
1,67.59091393835982,64.50248756218906,64.82696897374701,46.98687350835322,17.840095465393794,0.6412564188871842,0.616047203540802
2,72.0379652340834,64.60199004975125,64.55847255369929,43.705250596658715,20.853221957040574,0.6669943952155807,0.6017193794250488
3,73.98954889623546,66.46766169154229,65.1252983293556,46.98687350835322,18.138424821002385,0.660224817609669,0.5980225205421448
4,73.93622693825317,64.12935323383084,62.828162291169456,40.334128878281625,22.49403341288783,0.6698558881548048,0.5844897627830505
5,76.03711208275567,65.34825870646766,64.97613365155132,44.06324582338902,20.91288782816229,0.6712210758681154,0.5803677439689636
6,75.88781060040525,64.22885572139303,64.05131264916469,41.58711217183771,22.46420047732697,0.6753677161286282,0.5646871328353882
7,78.86317585581743,66.01990049751244,66.79594272076372,47.43436754176611,19.361575178997615,0.6823973760841657,0.5652910470962524
8,79.62034765916604,65.22388059701493,64.4689737470167,42.42243436754177,22.046539379474943,0.6785149278266587,0.5652212500572205
9,80.91073904233764,66.26865671641791,65.90095465393794,44.92840095465394,20.97255369928401,0.6864324686100761,0.5589057207107544
10,81.7638903700544,66.44278606965173,66.49761336515513,45.64439140811456,20.853221957040574,0.6831492469549425,0.5541783571243286
11,81.40130105577477,65.94527363184079,64.618138424821,41.795942720763726,22.82219570405728,0.6900233271753765,0.5396741032600403
12,82.60637730617468,66.3681592039801,66.10978520286396,45.495226730310264,20.6145584725537,0.6854320615586936,0.5388684272766113
13,81.30532153140663,65.12437810945273,64.618138424821,43.04892601431981,21.569212410501194,0.6781176613332498,0.5493632555007935
14,83.07561053641889,66.09452736318407,65.15513126491646,45.495226730310264,19.659904534606206,0.6810944202648965,0.5443427562713623
15,83.89676868934627,65.29850746268657,66.31861575178998,46.44988066825776,19.86873508353222,0.6801182797382346,0.548769474029541
16,85.84835235149835,67.13930348258707,68.10859188544153,48.269689737470166,19.83890214797136,0.6976772630491279,0.5268039703369141
17,85.84835235149835,65.77114427860697,67.45226730310262,46.98687350835322,20.465393794749403,0.6934640855434135,0.5318469405174255
18,85.69905086914792,65.09950248756219,65.66229116945107,43.37708830548926,22.285202863961814,0.6980663102357767,0.5320245623588562
19,87.00010664391597,66.7910447761194,67.9892601431981,48.41885441527447,19.570405727923628,0.6941051914707079,0.5265170335769653
20,87.3840247413885,66.09452736318407,66.73627684964201,45.10739856801909,21.628878281622914,0.7017597144377994,0.5247409343719482
21,87.44801109096726,67.28855721393035,68.52625298329356,51.40214797136038,17.124105011933175,0.6878229013370072,0.5250588655471802
22,87.20273008424869,68.50746268656717,68.52625298329356,49.940334128878284,18.585918854415272,0.6778998497041049,0.523046612739563
23,87.68262770608936,66.24378109452736,68.0489260143198,49.075178997613364,18.973747016706444,0.6858954739017441,0.5272307395935059
