,Train SPEAR CORR score,Train SPEAR Pval score,Test SPEAR CORR score,Test SPEAR Pval score,Whole SPEAR CORR score,Whole SPEAR Pval score,Test ERROR score,Train ERROR score,Whole ERROR score,training loss,hek293 spearman corr,hela spearman corr,hl60 spearman corr,hek293 P value,hela P value,hl60 P value
0,0.030339960490588284,0.002564783037551177,0.05336000521402792,0.0005097241509481906,0.036036773173199,6.825682045875384e-07,0.3227870762348175,0.2531099319458008,0.26770687103271484,0.1924619972705841,-0.036799939424045636,0.05711479088489378,0.15410318640361112,0.26639377766702815,0.021468690712923774,0.0016188191512833754
1,0.1551366666549859,2.9689377250367516e-54,0.16054503074888696,7.143957650519171e-26,0.148220538254781,1.0860559433241715e-93,0.10764293372631073,0.08675285428762436,0.09121682494878769,0.028360841795802116,0.037339408656477384,0.2250161031316583,0.29047079296710915,0.25944257541623644,4.713660906400369e-20,1.5671895849516444e-09
2,0.34042641921937367,1.7652911048219686e-266,0.28355939280205716,3.258721947908706e-79,0.2926003682425602,0.0,0.04610813781619072,0.035536978393793106,0.038534291088581085,0.02269238792359829,0.11114262179720985,0.41917461460298394,0.34681009594548645,0.0007628139209776027,5.514662324357714e-70,3.352311800190471e-13
3,0.46082852393883844,0.0,0.3202536575151317,1.0508031587727097e-101,0.37116493591688604,0.0,0.03147590532898903,0.021713953465223312,0.025034498423337936,0.021639080718159676,0.30782349200386083,0.4675202132309386,0.33422433508244376,1.6382733901330145e-21,8.292771271073965e-89,2.5849491526593204e-12
4,0.5652359552303239,0.0,0.3607711411358728,1.7266829706729578e-130,0.4372414470693647,0.0,0.02763211913406849,0.017978280782699585,0.022075163200497627,0.02135552652180195,0.4104902421542006,0.5133080049564959,0.4309142491382242,1.831728744133533e-38,1.173752192282246e-109,3.076989236739248e-20
5,0.6394971724160676,0.0,0.40081267354617045,2.2776146728970084e-163,0.49312491444314965,0.0,0.02490123175084591,0.013629107736051083,0.018842361867427826,0.017544114962220192,0.5339811396049436,0.5458307068804487,0.41936811996186185,1.6559094823204708e-68,1.599292444101554e-126,3.775516226576672e-19
6,0.6799042577242073,0.0,0.3906082339302435,1.5095475847433207e-154,0.5058604255846514,0.0,0.024927640333771706,0.012059731408953667,0.018242202699184418,0.016343295574188232,0.5596493987478203,0.5790557492520416,0.4028320253898827,1.8421897515655576e-76,8.841899352897565e-146,1.1613753211325209e-17
7,0.7653493676679479,0.0,0.4367091708120521,5.766090708886452e-197,0.5698121244682857,0.0,0.02530333772301674,0.010928439907729626,0.018247241154313087,0.01318358350545168,0.6720678968689976,0.6370671513672964,0.5058672431841367,3.936333550447032e-121,2.8765486722010076e-185,2.0588989357942998e-28
8,0.804098347021502,0.0,0.4747974444384037,2.417996080274057e-237,0.6082171078655285,0.0,0.02369079366326332,0.007889004424214363,0.01605067402124405,0.011902145110070705,0.6827851762668491,0.6899383658195536,0.5654484568045286,1.876110097081347e-126,1.765193079657702e-229,1.597222213612906e-36
9,0.7609408184102514,0.0,0.41448397010322147,1.10468156037203e-175,0.5559582755924751,0.0,0.034122202545404434,0.01674589142203331,0.025727469474077225,0.008864111267030239,0.5916076780336477,0.6713725011145396,0.4159868583353892,2.1752574109101425e-87,6.600340253249826e-213,7.726547770626659e-19
10,0.7835201559043864,0.0,0.44299783527165904,2.777882471870028e-203,0.5817189193693364,0.0,0.029355501756072044,0.010198568925261497,0.019760340452194214,0.00921559426933527,0.5876478613406598,0.6915518449209664,0.5523716337402738,5.728490345000882e-86,5.585554125069028e-231,1.332456179689992e-34
11,0.8146770627159992,0.0,0.4466433517678387,5.250158349398563e-207,0.5996290033909828,0.0,0.02698366530239582,0.007752809673547745,0.017523489892482758,0.009465557523071766,0.6632326933882314,0.7010988613781334,0.45848740840506463,6.555017110942405e-117,4.6380447354634246e-240,5.162257899153485e-23
12,0.866384494393023,0.0,0.508757085303046,6.278086656516853e-278,0.6531565827598007,0.0,0.02303648740053177,0.004945015534758568,0.014483089558780193,0.008025819435715675,0.7329960165463634,0.7128245683532078,0.6162313893093124,8.711498432690455e-155,1.0111429029047535e-251,7.317340325210505e-45
13,0.8504975016843553,0.0,0.478140401221893,3.878210704247467e-241,0.6316728001790777,0.0,0.023853784427046776,0.0055154915899038315,0.015090050175786018,0.00906603503972292,0.7361214208418246,0.7108071910298889,0.564946559897587,9.189320254799087e-157,1.1292041258049152e-249,1.8997199442534574e-36
14,0.8999925650586028,0.0,0.5253154034796254,1.9028966594118241e-299,0.6761065207117897,0.0,0.025968395173549652,0.006885453127324581,0.016814110800623894,0.007339267525821924,0.7773517155831956,0.7431457413549517,0.6329346717250852,8.74944834076393e-186,8.453354294297798e-285,5.979855113877414e-48
15,0.8099229453311386,0.0,0.45989602197677176,6.2325242624798565e-221,0.6043414632555424,0.0,0.05335921794176102,0.0215187668800354,0.03418595716357231,0.008625829592347145,0.6088336978828968,0.721431440692902,0.5990668818050287,8.36416038091764e-94,1.1589868373086496e-260,7.081721232281627e-42
16,0.9079945988148574,0.0,0.5258840617535219,3.303948199812619e-300,0.6829362990159015,0.0,0.022494984790682793,0.0038814647123217583,0.013796655461192131,0.0066124070435762405,0.7853556498770187,0.744460182873314,0.6511804828611624,3.775890377912911e-192,2.440855803631719e-286,1.5132178509578893e-51
17,0.8509534514523428,0.0,0.47493818704926133,1.6770210731789403e-237,0.6313697258114415,0.0,0.030707789584994316,0.008033223450183868,0.018878022208809853,0.005759427323937416,0.6644977413517389,0.7311570905754874,0.53230975923617,1.6634105232227494e-117,3.5114908662015874e-271,8.175621226612564e-32
