,training set Accuracy,training set Precittion,training set Recall,training set F1 score,development set Accuracy,development set Precittion,development set Recall,development set F1 score,test set Accuracy,test set Precittion,test set Recall,test set F1 score,training set True positive ratio,training set True negative ratio,training set False positive ratio,training set False negative ratio,development set True positive ratio,development set True negative ratio,development set False positive ratio,development set False negative ratio,test set True positive ratio,test set True negative ratio,test set False positive ratio,test set False negative ratio,test AUC score,whole AUC score
0,58.916317618750554,76.13143211407316,51.60386608768736,61.512773417932884,56.87280583310829,73.63344051446946,49.099485420240136,58.91432981733985,54.08219178082192,69.78776529338327,48.3982683982684,57.15746421267893,32.83129845824793,26.085019160502632,10.293200249532127,30.79048213171732,30.920874966243588,25.951930866864704,11.072103699702945,32.05509046718877,30.63013698630137,23.45205479452055,13.26027397260274,32.657534246575345,0.5809704723137559,0.6285989234618423
1,67.51626414758043,74.60563380281691,74.19806695615632,74.40129222557765,63.651093707804485,71.10445205479452,71.22641509433963,71.16538131962297,63.34246575342466,70.48903878583474,72.38095238095238,71.42246903032891,47.20613136084128,20.31013278673915,16.068086623295606,16.415649229123964,44.855522549284366,18.79557115852012,18.228463408047528,18.120442884147987,45.80821917808219,17.534246575342465,19.17808219178082,17.47945205479452,0.6130807003941332,0.6585812184676765
2,70.35023616433473,74.5681876772364,81.03375822944389,77.66664429079681,65.21739130434783,70.48665620094191,77.01543739279589,73.60655737704917,65.31506849315069,70.01533742331289,79.04761904761905,74.25782838552257,51.5551198645397,18.79511629979503,17.58310311023973,12.066660725425542,48.50121523089387,16.716176073453955,20.30785849311369,14.474750202538484,50.02739726027398,15.287671232876713,21.424657534246574,13.26027397260274,0.644861407249467,0.6821112055119255
3,65.27938686391586,82.67177110618577,57.473035439137135,67.8069740538754,59.33027275182285,77.31481481481481,50.128644939965696,60.82206035379812,59.01369863013699,76.1232349165597,51.341991341991346,61.32368148914167,36.56536850548079,28.714018358435077,7.6642010515996795,27.05641208448445,31.568998109640834,27.761274642182016,9.262759924385634,31.40696732379152,32.49315068493151,26.52054794520548,10.191780821917808,30.794520547945204,0.6458170188020935,0.6964165792052803
4,66.00124766063631,83.40032154340837,58.1313909511136,68.51011143210896,58.8711855252498,76.42064010450686,50.17152658662093,60.57468288894642,59.12328767123287,76.38709677419355,51.25541125541125,61.34715025906735,36.984226004812406,29.0170216558239,7.361197754210854,26.637554585152838,31.596003240615715,27.27518228463408,9.748852281933567,31.379962192816635,32.43835616438356,26.684931506849313,10.027397260273972,30.849315068493148,0.6537772178070684,0.7059054287661323
5,73.77239105249086,83.28045685279187,73.53971144417986,78.10756527560811,64.92033486362409,76.0990399191511,64.57975986277873,69.86778009742518,64.98630136986301,75.34381139489194,66.4069264069264,70.59364933271974,46.78727386150967,26.985117190981196,9.39310221905356,16.834506728455576,40.66972724817715,24.250607615446935,12.773426951120712,22.306238185255197,42.02739726027397,22.95890410958904,13.753424657534246,21.26027397260274,0.6723337856173678,0.7379356543023118
6,75.8488548257731,81.87706923852022,79.67502451323715,80.76103932983104,66.3786119362679,74.03803626713842,71.78387650085763,72.89353363814502,65.20547945205479,72.60869565217392,72.2943722943723,72.45119305856832,50.69066928081276,25.158185544960343,11.220033865074413,12.931111309152483,45.20658925195787,21.17202268431002,15.85201188225763,17.76937618147448,45.75342465753425,19.45205479452055,17.26027397260274,17.534246575342465,0.6572694966724818,0.7376664690428191
7,76.64201051599679,80.6346623270952,83.2889760470654,81.94032935988425,67.8368890089117,73.62318840579711,76.24356775300171,74.91046977038128,66.46575342465754,71.9838056680162,76.96969696969697,74.39330543933055,52.98992959629266,23.652080919704126,12.72613849033063,10.631850993672579,48.01512287334593,19.821766135565756,17.20226843100189,14.960842560086416,48.71232876712329,17.753424657534246,18.958904109589042,14.575342465753424,0.6589842992828068,0.7307174886100392
8,76.97174939844935,84.34625245061078,78.3443059251996,81.23456790123457,65.8115041857953,74.97656982193065,68.61063464837049,71.6524854455889,66.35616438356165,74.303683737646,71.6017316017316,72.92768959435625,49.84404242046163,27.127706977987703,9.250512432047055,13.777738169503609,43.20820955981636,22.603294625978936,14.420739940588712,19.767755873615986,45.31506849315068,21.04109589041096,15.67123287671233,17.972602739726025,0.6758525554047943,0.7516073652185533
9,78.39764726851439,85.10796723752793,80.0532287435215,82.50324815937635,66.89170942479072,75.18214936247723,70.79759862778731,72.92402826855124,66.08219178082192,73.71681415929203,72.12121212121212,72.91028446389495,50.93128954638624,27.466357722128155,8.911861687906605,12.690491043579003,44.585471239535515,22.306238185255197,14.71779638131245,18.39049419389684,45.64383561643835,20.43835616438356,16.273972602739725,17.643835616438356,0.6793745557924662,0.7575558307350054
10,78.6828268425274,81.0139814451849,86.84689732455526,83.829096809086,67.75587361598704,72.17459080280592,79.41680960548885,75.62270314414047,67.06849315068493,71.17737003058105,80.60606060606061,75.59886317498986,55.25354246502094,23.429284377506463,12.948935032528293,8.3682381249443,50.01350256548744,17.742371050499596,19.281663516068054,12.96246286794491,51.013698630136986,16.054794520547947,20.65753424657534,12.273972602739725,0.661752277573173,0.7517306841593743
11,79.15515551198645,82.441200324412,85.43213335201008,83.91002270069478,67.80988387793681,73.39901477832512,76.67238421955403,75.0,66.84931506849315,72.32142857142857,77.14285714285715,74.65437788018433,54.353444434542375,24.80171107744408,11.576508332590677,9.268336155422869,48.28517418309479,19.52470969484202,17.499324871725626,14.690791250337565,48.821917808219176,18.027397260273972,18.684931506849313,14.465753424657535,0.6640240356658267,0.7586485024867746
12,79.43142322431156,86.57077971233915,80.09525143577531,83.20721769499417,66.3786119362679,75.40906965871903,69.16809605488851,72.1538805636323,66.41095890410959,75.0,70.3896103896104,72.62170611880303,50.95802513144996,28.4733980928616,7.904821317173158,12.663755458515283,43.559276262489874,22.819335673778017,14.20469889278963,19.416689170942476,44.54794520547945,21.863013698630137,14.849315068493151,18.73972602739726,0.6818815015829941,0.767255199337725
13,71.21468674806167,87.26406101048619,64.11262081524023,73.91795865633075,60.68052930056711,77.58186397984886,52.83018867924528,62.857142857142854,60.16438356164383,76.68329177057358,53.246753246753244,62.85130301481859,40.789590945548525,30.425095802513148,5.953123607521611,22.83218964441672,33.2703213610586,27.410207939508506,9.61382662705914,29.70564407237375,33.6986301369863,26.465753424657535,10.246575342465754,29.589041095890412,0.6618743942624539,0.7353717238790625
14,79.68095535157295,85.50343416630133,81.95825745902788,83.69331998283506,67.29678638941398,75.35052012663954,71.44082332761577,73.34360554699538,66.02739726027397,74.16440831074978,71.08225108225108,72.59062776304155,52.143302735941546,27.5376526156314,8.840566794403351,11.478477854023705,44.99054820415879,22.306238185255197,14.71779638131245,17.985417229273562,44.986301369863014,21.04109589041096,15.67123287671233,18.301369863013697,0.6727957614524778,0.7673674367111087
15,78.70956242759112,87.60291323622546,77.50385208012327,82.24451876625791,64.51525789900082,75.73306370070779,64.23670668953689,69.51276102088167,63.50684931506849,74.62235649546828,64.15584415584415,68.99441340782123,49.30933071918724,29.400231708403883,6.9779877016308705,14.312449870778005,40.45368620037807,24.06157169862274,12.96246286794491,22.52227923305428,40.6027397260274,22.904109589041095,13.808219178082194,22.684931506849317,0.6711449247270143,0.7698464801760289
16,81.12467694501382,87.78028592927014,81.70612130550498,84.63435867672663,67.02673507966513,75.92160522631825,69.76843910806176,72.71508379888267,67.5068493150685,75.68555758683729,71.68831168831169,73.63272565584704,51.98288922555921,29.14178771945459,7.2364316905801624,11.638891364406025,43.937348096138265,23.089386983526868,13.934647583040777,19.038617337294088,45.369863013698634,22.136986301369863,14.575342465753424,17.917808219178085,0.6786593008981069,0.7745398390649013
17,81.82871401835844,84.20064377682404,87.93948732315451,86.02946214457006,68.86308398595733,73.76058041112455,78.47341337907375,76.04404737170164,69.64383561643835,73.45823575331772,81.47186147186147,77.25779967159278,55.94866767667766,25.880046341680778,10.49817306835398,7.673112913287586,49.41938968403996,19.443694301917365,17.580340264650285,13.556575749392385,51.56164383561644,18.08219178082192,18.63013698630137,11.726027397260275,0.69587000064612,0.7822484294375737
18,81.40094465733891,89.30905695611578,80.38941028155205,84.61481754515296,66.18957601944369,76.54867256637168,66.76672384219555,71.32386623912048,65.86301369863014,76.23274161735701,66.92640692640693,71.27708621484555,51.145174226895996,30.25577043044292,6.122448979591836,12.476606363069246,42.0469889278963,24.142587091547394,12.881447475020256,20.928976505536053,42.35616438356165,23.506849315068493,13.205479452054794,20.931506849315067,0.6830251340699101,0.7766320497558382
