,training set Accuracy,development set Accuracy,test set Accuracy,test set True positive ratio,test set True negative ratio,test AUC score,loss
0,59.8165724645409,59.5771144278607,60.73985680190931,54.14677804295943,6.59307875894988,0.5345293076995334,0.6462982296943665
1,61.13895702250186,59.32835820895522,60.948687350835314,49.88066825775656,11.068019093078759,0.5610553589880076,0.6483740210533142
2,56.467953503252645,54.27860696517413,54.56443914081146,34.815035799522676,19.749403341288783,0.5628319034348874,0.6543262600898743
3,57.033166257864984,54.67661691542288,54.3854415274463,32.21957040572792,22.16587112171838,0.588212535616996,0.6401912569999695
4,62.759944545163705,63.1094527363184,64.31980906921241,57.756563245823386,6.563245823389022,0.59061903121771,0.6417272686958313
5,61.906793217446946,60.721393034825866,62.35083532219571,53.7291169451074,8.621718377088305,0.6095228496727934,0.6416440606117249
6,62.72795137037433,60.223880597014926,61.63484486873509,40.96062052505967,20.67422434367542,0.6387546184676082,0.627748966217041
7,64.67953503252639,63.88059701492538,65.03579952267303,51.76014319809069,13.275656324582338,0.6393448429721013,0.6232081055641174
8,65.19142582915644,63.756218905472636,66.28878281622912,54.862768496420045,11.426014319809068,0.640712966152112,0.6291492581367493
9,66.18321424762718,64.02985074626866,65.33412887828163,46.83770883054893,18.4964200477327,0.6536515248771018,0.6244772672653198
10,64.39159645942199,62.636815920398014,62.917661097852026,41.97494033412888,20.94272076372315,0.6547225788270659,0.6227717399597168
11,67.50559880558814,64.62686567164178,65.54295942720763,47.7326968973747,17.810262529832936,0.6553313946206594,0.6158394813537598
12,66.83374213501119,63.28358208955224,64.08114558472555,44.06324582338902,20.017899761336515,0.6598510348498607,0.6119795441627502
13,67.55892076357044,63.95522388059701,63.15632458233891,42.75059665871122,20.405727923627683,0.6623416804959764,0.6142957806587219
14,68.28409939212968,64.87562189054727,64.85680190930788,46.86754176610978,17.98926014319809,0.664375567523562,0.6121268272399902
15,66.30052255518822,62.363184079601986,62.29116945107399,40.60262529832935,21.68854415274463,0.6593561151642295,0.6184934377670288
16,59.33667484270022,57.06467661691542,55.9964200477327,29.683770883054894,26.312649164677804,0.661336968093434,0.6166642308235168
17,65.96992641569798,63.70646766169155,63.06682577565632,42.06443914081145,21.002386634844868,0.6560907020070764,0.6292973756790161
18,66.71643382745015,62.68656716417911,63.54415274463007,42.21360381861575,21.33054892601432,0.669289734477252,0.6096280813217163
19,67.53759198037753,64.70149253731343,64.64797136038186,44.12291169451074,20.52505966587112,0.6712927012555969,0.6113348603248596
20,67.94283886104297,63.731343283582085,63.961813842482094,43.67541766109785,20.286396181384248,0.6724702147978834,0.6091228723526001
21,68.84931214674202,64.5273631840796,64.97613365155132,46.03221957040573,18.943914081145586,0.659148675517425,0.6098091006278992
