,training set Accuracy,training set Precittion,training set Recall,training set F1 score,development set Accuracy,development set Precittion,development set Recall,development set F1 score,test set Accuracy,test set Precittion,test set Recall,test set F1 score,training set True positive ratio,training set True negative ratio,training set False positive ratio,training set False negative ratio,development set True positive ratio,development set True negative ratio,development set False positive ratio,development set False negative ratio,test set True positive ratio,test set True negative ratio,test set False positive ratio,test set False negative ratio,test AUC score,whole AUC score,loss,hek293 AUC score,hct116 AUC score,hela AUC score,hl60 AUC score
5,61.906793217446946,65.79694470731377,82.36588255203927,73.15496768375169,60.721393034825866,65.16782773907536,81.119432400473,72.27392449517122,62.35083532219571,67.10134128166915,82.61467889908258,74.05427631578947,51.903593899968,10.003199317478938,26.980910739042336,11.112296043510717,51.19402985074627,9.5273631840796,27.363184079601986,11.91542288557214,53.7291169451074,8.621718377088305,26.342482100238662,11.306682577565633,0.6095228496727934,0.6158029714523761,0.6416440606117249,0.46655099286678237,0.6317644341224653,0.6502752332820048,0.6184575365177372
6,62.72795137037433,73.65738925911407,63.597901506177024,68.25901371355917,60.223880597014926,71.31818181818181,61.84469846275128,66.24445851804941,61.63484486873509,74.13606911447084,62.981651376146786,68.10515873015872,40.07678361949451,22.65116775087981,14.332942305641463,22.93910632398422,39.02985074626866,21.19402985074627,15.696517412935323,24.079601990049753,40.96062052505967,20.67422434367542,14.289976133651553,24.075178997613364,0.6387546184676082,0.6442501850283628,0.627748966217041,0.4797378060535955,0.6641288332833882,0.6748011015911872,0.6043792699311095
7,64.67953503252639,69.18304033092038,79.25198849213064,73.8760056791292,63.88059701492538,68.81720430107528,78.20260149783208,73.21033210332104,65.03579952267303,70.47116165718927,79.58715596330275,74.75226195605342,49.94134584621948,14.738189186306922,22.245920870214352,13.074544097259253,49.353233830845774,14.527363184079602,22.36318407960199,13.756218905472636,51.76014319809069,13.275656324582338,21.68854415274463,13.275656324582338,0.6393448429721013,0.6471437190767015,0.6232081055641174,0.4141025641025642,0.6924351962840876,0.6766486029402088,0.6338221421833462
8,65.19142582915644,68.370607028754,83.29666610255543,75.09917607567897,63.756218905472636,67.62402088772846,81.67126527394561,73.9867880735583,66.28878281622912,69.97716894977168,84.35779816513761,76.4975041597338,52.490135437773276,12.701290391383171,24.282819665138103,10.52575450570545,51.542288557213936,12.213930348258707,24.676616915422887,11.567164179104477,54.862768496420045,11.426014319809068,23.5381861575179,10.173031026252984,0.640712966152112,0.6481432042218528,0.6291492581367493,0.44445729708887605,0.6895040455498951,0.6768772785301589,0.6496726981676814
9,66.18321424762718,73.6360497237569,72.17803350820782,72.89975215793521,64.02985074626866,72.16578626574564,70.00394166338195,71.06842737094837,65.33412887828163,73.98680490103676,72.01834862385321,72.98930729893073,45.48363015889944,20.699584088727736,16.284525967793538,17.532259784579292,44.17910447761194,19.850746268656717,17.039800995024876,18.930348258706466,46.83770883054893,18.4964200477327,16.467780429594274,18.198090692124104,0.6536515248771018,0.6660156822161807,0.6244772672653198,0.4208791208791209,0.704518779342723,0.6854410971163843,0.6739416287911271
10,64.39159645942199,75.16647081864474,64.95176848874597,69.68679073990015,62.636815920398014,73.44811961939284,63.89436342136382,68.3389544688027,62.917661097852026,74.96004262120405,64.54128440366974,69.36159723933942,40.92993494721126,23.46166151221073,13.522448544310548,22.08595499626746,40.32338308457712,22.313432835820894,14.577114427860696,22.786069651741293,41.97494033412888,20.94272076372315,14.021479713603819,23.060859188544153,0.6547225788270659,0.6665764310461071,0.6227717399597168,0.4255735492577597,0.6911116521825992,0.6888284571142786,0.6901923791555898
11,67.50559880558814,73.94578313253012,74.78422744965307,74.36264198569626,64.62686567164178,71.87132208709298,72.21127315727237,72.04089657884388,65.54295942720763,73.5632183908046,73.39449541284404,73.47876004592423,47.125946464754186,20.379652340833957,16.60445771568732,15.889943478724538,45.57213930348259,19.0547263681592,17.83582089552239,17.537313432835823,47.7326968973747,17.810262529832936,17.153937947494033,17.30310262529833,0.6553313946206594,0.6730901564050276,0.6158394813537598,0.42203585887796413,0.6956191938867246,0.688823521669891,0.701440699768459
12,66.83374213501119,76.12469665857756,69.01336943645286,72.39481626131725,63.28358208955224,72.83684890228153,66.69294442254632,69.62962962962965,64.08114558472555,74.67138523761375,67.75229357798165,71.04377104377105,43.48938893036152,23.344353204649675,13.639756851871601,19.5265010131172,42.08955223880597,21.19402985074627,15.696517412935323,21.019900497512438,44.06324582338902,20.017899761336515,14.946300715990454,20.97255369928401,0.6598510348498607,0.6763417357435635,0.6119795441627502,0.4511567379988433,0.6983443212466287,0.6931519063976521,0.6957808078209418
13,67.55892076357044,76.93030246101821,69.30106617024877,72.91666666666667,63.95522388059701,74.04951370468612,66.0228616476153,69.80620962700563,63.15632458233891,74.59656428943259,65.73394495412845,69.88539380638869,43.67068358750134,23.888237176069104,13.09587288045217,19.34520635597739,41.66666666666667,22.28855721393035,14.601990049751242,21.442786069651742,42.75059665871122,20.405727923627683,14.558472553699284,22.285202863961814,0.6623416804959764,0.6794184998975916,0.6142957806587219,0.4410931174089069,0.7009071271601239,0.695448533185928,0.710387902695595
14,68.28409939212968,74.88553501780567,74.73345743780673,74.80941893952227,64.87562189054727,72.38360525268604,71.69885691761924,72.03960396039604,64.85680190930788,73.41121495327103,72.06422018348624,72.73148148148148,47.09395328996481,21.19014610216487,15.793963954356405,15.921936653513919,45.24875621890547,19.62686567164179,17.263681592039802,17.860696517412936,46.86754176610978,17.98926014319809,16.97494033412888,18.168257756563246,0.664375567523562,0.6816418142920497,0.6121268272399902,0.4487372276845961,0.6995960693237439,0.6943076229583711,0.7146756996255323
15,66.30052255518822,77.46253746253745,65.61177864274835,71.04636247022172,62.363184079601986,74.33460076045627,61.64761529365392,67.39926739926739,62.29116945107399,75.35991140642302,62.43119266055046,68.28901154039137,41.34584621947318,24.95467633571505,12.029433720806228,21.670043724005545,38.905472636815915,23.45771144278607,13.432835820895523,24.203980099502488,40.60262529832935,21.68854415274463,13.275656324582338,24.433174224343677,0.6593561151642295,0.678447955933417,0.6184934377670288,0.4550125313283208,0.6928878233942664,0.6848636501230572,0.715433210416488
