,Train SPEAR CORR score,Train SPEAR Pval score,Test SPEAR CORR score,Test SPEAR Pval score,Whole SPEAR CORR score,Whole SPEAR Pval score,Test ERROR score,Train ERROR score,Whole ERROR score,training loss,hek293 spearman corr,hct116 spearman corr,hl60 spearman corr,hek293 P value,hct116 P value,hl60 P value
0,-0.016094909211215012,0.16942281311323354,-0.02601460735573249,0.01920672925150643,-0.027259615384243478,0.00017254798239038128,0.08277633041143417,0.09847914427518845,0.09219498187303543,0.4031047224998474,0.02726249555078542,-0.04879042334025743,-0.14116821464052115,0.41037342097849905,0.15573922711259763,0.003913199235913524
1,0.08257818584673828,1.6471166141086298e-12,0.09210935867570186,9.83692114177372e-17,0.0744800291796912,9.125307882006683e-25,0.06378064304590225,0.045342423021793365,0.053838517516851425,0.039380691945552826,0.041017829421984946,0.0929493985792943,-0.02321310699355252,0.21538506224797513,0.006756765426674141,0.636858734719264
2,0.264560481544741,5.1565981456790436e-117,0.2592489327803479,1.489581560554307e-124,0.23297342775333013,2.4925490383164442e-232,0.040951862931251526,0.024512510746717453,0.0323900431394577,0.019969629123806953,0.1945510621474339,0.25994513496858634,0.1113029317046826,3.020915901698543e-09,1.458217528981589e-14,0.023185081374087712
3,0.3822678368800664,2.409200987831546e-252,0.2869327576180516,2.4416016935343507e-153,0.30382781465790026,0.0,0.03824789077043533,0.024843497201800346,0.031309954822063446,0.019090306013822556,0.24952209054684443,0.408438880225028,0.31434465032237413,1.9371137660637277e-14,1.9792227015183897e-35,5.413185108352974e-11
4,0.49810513437950965,0.0,0.2972551319366042,5.992299733781677e-165,0.35458720372256186,0.0,0.03591553494334221,0.019391115754842758,0.027570534497499466,0.01739266887307167,0.44293444608017124,0.44960642225423464,0.23213923763676736,3.3364432819860985e-45,1.981162369932454e-43,1.7012257637193144e-06
5,0.5274682912408789,0.0,0.306752116162833,4.6027207957482596e-176,0.3737876786732051,0.0,0.0366135910153389,0.021145343780517578,0.029135482385754585,0.016269080340862274,0.3994981361389882,0.4875349939087586,0.3652557657303258,2.419745641542014e-36,7.763868224618482e-52,1.4167416349386403e-14
6,0.5828463011448329,0.0,0.299592144943332,1.2058873552120372e-167,0.38359215145934433,0.0,0.03314322605729103,0.013358915224671364,0.023902423679828644,0.014814446680247784,0.500363512303972,0.497772167976154,0.3012154872950574,4.497993359082356e-59,2.71730280930312e-54,3.5788834817981893e-10
7,0.7413789829749069,0.0,0.3188155873388393,8.600139308606813e-191,0.4655524698247016,0.0,0.04299994930624962,0.01772337779402733,0.0307210311293602,0.014105040580034256,0.6381891630648616,0.6135763862690039,0.4845172055126983,1.0809057414029385e-105,7.452671397701894e-89,7.095892466109352e-26
8,0.6064599511997081,0.0,0.3351036315014752,8.653146480394972e-212,0.41422781841545986,0.0,0.04131324961781502,0.019807029515504837,0.03182241693139076,0.013202783651649952,0.5126909170392314,0.5054608151831375,0.371049832978844,2.0681934520790924e-62,3.420100413937335e-56,5.0236198686444855e-15
9,0.8180530614311725,0.0,0.347753125219786,5.3036560278260824e-229,0.5095334694358693,0.0,0.0545666478574276,0.022787168622016907,0.03917711600661278,0.009626819752156734,0.7090044245089455,0.6869735072409664,0.5237943472839893,1.7131327733131847e-140,1.987072199671601e-119,1.097805098410246e-30
10,0.8146699601373659,0.0,0.35451730381130103,1.5380565712088865e-238,0.5173185464590127,0.0,0.03063482791185379,0.005819675978273153,0.019403748214244843,0.007258511148393154,0.7119735326581466,0.7154893497990842,0.5836359272174476,3.505299986699789e-142,6.499035916835305e-134,2.4246918662049302e-39
11,0.8505451930932095,0.0,0.3779348726530017,2.0646963422259305e-273,0.5424990475375612,0.0,0.029463857412338257,0.0045646983198821545,0.018324244767427444,0.006818104535341263,0.7406461196248112,0.7261174295037489,0.6087434408358392,1.1243421441285585e-159,8.854290861484659e-140,1.5463606094161113e-43
12,0.8725193799971659,0.0,0.37765626458890295,5.5852328068323314e-273,0.5526489967696654,0.0,0.03274780511856079,0.00571550615131855,0.020433692261576653,0.008334174752235413,0.769349400042823,0.7059835802610355,0.62397153639461,1.1108832318963933e-179,6.844766951469468e-129,2.8629323893334412e-46
13,0.8164620003511626,0.0,0.3667233881014843,2.368079199501707e-256,0.5291155701993906,0.0,0.030534224584698677,0.006763380486518145,0.020054781809449196,0.006735905073583126,0.6677633171231676,0.7146846916648275,0.6384433694934691,4.677396958082298e-119,1.7618772362571865e-133,5.2042535221685395e-49
14,0.8391621485532765,0.0,0.370032547846239,2.5677076134056806e-261,0.5314845569962928,0.0,0.03214577957987785,0.006010002922266722,0.020832564681768417,0.0043094526045024395,0.7202813839832801,0.6803002169856396,0.6017130503197071,5.037257565246517e-147,2.8151119008330615e-116,2.521107507812991e-42
15,0.8189969244239537,0.0,0.3573521385840517,1.3170095927062283e-242,0.5176986567417057,0.0,0.03935594484210014,0.009453176520764828,0.025809679180383682,0.0047010937705636024,0.6986804236192913,0.6632935046087562,0.5394326614704529,8.799254834912694e-135,1.2971630235372478e-108,8.791765823861286e-33
