,training set Accuracy,development set Accuracy,test set Accuracy,test AUC score,whole AUC score
0,63.485915492957744,62.00640341515475,63.85281385281385,0.6071743345672485,0.629467803945644
1,49.57746478873239,45.99786552828175,49.35064935064935,0.6363867833989463,0.6371068712298124
2,69.36619718309859,65.95517609391676,65.15151515151516,0.6738938833068924,0.7101992270102306
3,69.82394366197184,66.59551760939168,64.06926406926407,0.6454942515228079,0.6943665552512555
4,69.40140845070422,65.5282817502668,62.33766233766234,0.5847190395048671,0.6478295765101674
5,71.19718309859155,64.03415154749199,60.3896103896104,0.6209530524707679,0.6923350260928797
6,70.77464788732394,60.40554962646745,62.33766233766234,0.657304581154396,0.7207062856578903
7,75.45774647887325,65.20811099252934,64.06926406926407,0.652378713986329,0.7305902307600389
8,70.1056338028169,60.8324439701174,62.121212121212125,0.6840687858667762,0.7329119092576386
9,76.26760563380282,64.78121664887941,64.71861471861472,0.6685665041032571,0.7355054742556866
10,71.65492957746478,63.92742796157951,60.60606060606061,0.617114205691678,0.6796344916569064
11,72.46478873239437,64.78121664887941,63.20346320346321,0.6064496543079304,0.6702105040108097
12,73.38028169014085,62.326574172892215,64.93506493506493,0.6648745519713262,0.7184397585144741
13,70.91549295774648,59.33831376734259,60.60606060606061,0.6649920676890534,0.7188652463741614
14,77.39436619718309,62.113127001067234,64.28571428571429,0.6932545978024561,0.7549527367408161
15,79.7887323943662,61.5795090715048,63.41991341991342,0.6854202166206398,0.7683640705376145
16,80.95070422535211,65.95517609391676,68.18181818181817,0.7142997042521104,0.7749539316868235
17,76.54929577464789,68.62326574172893,64.71861471861472,0.6242239066141764,0.6847832817861685
18,75.17605633802818,64.78121664887941,63.41991341991342,0.5911432320739566,0.6534998855851293
19,75.38732394366198,60.40554962646745,61.904761904761905,0.6783594805805276,0.7633800087951897
20,81.97183098591549,62.753468516542156,66.45021645021644,0.6808175176763225,0.7785750534943946
21,74.96478873239437,59.87193169690501,56.709956709956714,0.6340560549973558,0.7236493844576711
22,76.86619718309859,64.03415154749199,62.121212121212125,0.6244589380496308,0.7206490782225203
23,77.53521126760563,65.31483457844183,61.904761904761905,0.6047750553303171,0.6939565484734443
24,71.19718309859155,61.04589114194236,62.121212121212125,0.6281802691109937,0.7118317554724415
25,74.15492957746478,63.50053361792957,62.77056277056276,0.6598213761090547,0.7215156559697229
26,69.33098591549296,57.20384204909285,60.17316017316018,0.6900718804473431,0.7854450254687986
27,68.30985915492957,53.255069370330844,55.1948051948052,0.6535440781871242,0.7605199998645404
28,71.47887323943662,55.60298826040555,56.060606060606055,0.6551207473999647,0.7734952025578617
29,80.0,60.8324439701174,62.55411255411255,0.6747752511898466,0.7836640963232914
30,79.50704225352113,58.59124866595518,62.55411255411255,0.6771353585208688,0.7837104186229675
31,84.4718309859155,62.4332977588047,65.80086580086581,0.6713966743051885,0.7946925529706986
32,82.57042253521126,62.113127001067234,63.20346320346321,0.6554635015766692,0.7876288255809398
33,72.04225352112677,54.749199573105656,54.761904761904766,0.6514679671739427,0.7771045926080737
34,74.33098591549296,55.1760939167556,57.14285714285714,0.6623773429696221,0.7799575866734978
35,78.41549295774648,58.05763073639274,63.20346320346321,0.6973088900640462,0.7991321160365141
36,85.2112676056338,62.00640341515475,65.15151515151516,0.6886616918346162,0.8102528544454168
37,82.11267605633803,60.725720384204905,62.77056277056276,0.6665491509489394,0.7933401353336826
38,85.24647887323944,62.4332977588047,67.53246753246754,0.6790156100045047,0.7943335853846977
39,83.76760563380282,62.21985058697972,64.06926406926407,0.682785905948254,0.7961580550729813
40,84.78873239436619,59.01814300960512,63.63636363636363,0.6827271480893903,0.8213119104187196
41,87.64084507042253,61.15261472785486,64.5021645021645,0.6874865346573438,0.8265339937949888
42,86.65492957746478,62.64674493062967,63.63636363636363,0.6919423389545017,0.8288249520207408
43,88.41549295774648,65.42155816435432,66.66666666666666,0.6794758798989364,0.8286031371444853
44,88.16901408450704,62.86019210245464,64.93506493506493,0.6754901384726874,0.8293042608291377
45,88.38028169014085,62.21985058697972,65.36796536796537,0.692853085766888,0.8337793820048872
46,87.9225352112676,65.10138740661687,65.36796536796537,0.6390798519301957,0.8106893483867503
47,87.95774647887325,63.92742796157951,64.93506493506493,0.6370135338934916,0.8224952456146206
48,88.30985915492958,63.39381003201707,63.41991341991342,0.649989227725875,0.8221904618151858
49,89.96478873239437,64.03415154749199,64.71861471861472,0.6722290773057563,0.8345776252891213
50,85.70422535211267,62.540021344717175,64.06926406926407,0.6762050257555281,0.8238448814947372
51,82.95774647887325,62.00640341515475,64.5021645021645,0.6609279824509862,0.7899697344849322
52,79.92957746478874,62.86019210245464,63.41991341991342,0.6509195604912157,0.7718020801736203
53,84.8943661971831,66.3820704375667,66.88311688311688,0.6652858569833715,0.8174237399487866
54,85.3169014084507,68.40981856990395,66.23376623376623,0.6605362633918954,0.819458776539775
55,86.90140845070422,67.2358591248666,66.23376623376623,0.6638658753941673,0.821511350293826
56,90.56338028169014,66.59551760939168,68.18181818181817,0.6862232406917759,0.8375174585481938
57,88.38028169014085,63.82070437566703,66.45021645021644,0.6914624831071156,0.8330315731827025
58,90.98591549295774,65.74172892209178,66.01731601731602,0.6810917210176861,0.840062645165379
59,82.95774647887325,62.64674493062967,64.06926406926407,0.6126192294886108,0.759881284291201
60,83.38028169014085,61.5795090715048,61.471861471861466,0.6264762912039485,0.793093405591283
61,87.85211267605634,64.03415154749199,65.36796536796537,0.6447695712634898,0.8221024131620157
62,90.03521126760563,65.5282817502668,66.66666666666666,0.673267132812347,0.8371723997466908
63,90.70422535211267,65.5282817502668,64.71861471861472,0.6723759719529153,0.8433838210116016
64,89.6830985915493,62.326574172892215,64.28571428571429,0.674501047848483,0.8428642372011366
65,82.6056338028169,56.670224119530424,62.121212121212125,0.6683608515972345,0.8258392802458009
66,89.7887323943662,59.65848452508005,62.98701298701299,0.6635916720528038,0.8353199915434592
67,91.33802816901408,62.4332977588047,65.5844155844156,0.6739330552128013,0.8445434508008799
68,91.72535211267606,62.86019210245464,65.15151515151516,0.6758818575317783,0.849558595653009
69,90.28169014084507,61.04589114194236,64.06926406926407,0.6862624125976851,0.8502563328510009
70,91.86619718309859,64.03415154749199,65.5844155844156,0.6802789039700727,0.8453294785439462
71,92.85211267605634,63.82070437566703,65.36796536796537,0.68796639050473,0.8541833269715762
72,93.06338028169014,63.71398078975453,67.96536796536796,0.6884854182580253,0.8551419445883701
73,87.57042253521126,59.76520811099253,63.20346320346321,0.6663337054664394,0.8322584866565169
74,91.1619718309859,62.753468516542156,64.5021645021645,0.672219284329279,0.8433658000647303
75,91.23239436619718,61.15261472785486,65.80086580086581,0.6937148676968877,0.8515834727840161
76,90.7394366197183,62.540021344717175,64.06926406926407,0.6531915310339425,0.8343861678468573
