,training set Accuracy,training set Precittion,training set Recall,training set F1 score,development set Accuracy,development set Precittion,development set Recall,development set F1 score,test set Accuracy,test set Precittion,test set Recall,test set F1 score,training set True positive ratio,training set True negative ratio,training set False positive ratio,training set False negative ratio,development set True positive ratio,development set True negative ratio,development set False positive ratio,development set False negative ratio,test set True positive ratio,test set True negative ratio,test set False positive ratio,test set False negative ratio,test AUC score,whole AUC score,loss,hek293 AUC score,hct116 AUC score,hela AUC score,hl60 AUC score
0,63.67708222245921,74.22101799883879,64.90099847689964,69.24882629107981,61.791044776119406,72.88523090992227,62.83011430823807,67.48518204911092,61.27684964200477,74.25742574257426,61.92660550458715,67.53376688344171,40.89794177242188,22.779140450037325,14.20496960648395,22.11794817105684,39.65174129353234,22.139303482587064,14.751243781094528,23.45771144278607,40.2744630071599,21.002386634844868,13.961813842482101,24.761336515513126,0.6371029292043711,0.651718923250355,0.6202194094657898,0.45353769037979563,0.6824087254020578,0.6831617443834643,0.6263613755252551
1,63.50645195691585,77.51714981190528,59.28245049923845,67.18450326045262,61.96517412935323,76.55426765015805,57.272368939692555,65.52423900789177,60.292362768496425,76.44859813084112,56.28440366972477,64.83487450462351,37.357363762397355,26.149088194518505,10.835021862002773,25.65852618108137,36.14427860696517,25.82089552238806,11.069651741293532,26.965174129353237,36.605011933174225,23.687350835322196,11.276849642004773,28.430787589498806,0.6561971615993988,0.6788574744127223,0.6235904693603516,0.43057644110275695,0.7138460193786834,0.6940073834248036,0.6653088643055198
2,68.83864775514556,76.89537187106069,72.26265019461839,74.50706682952364,64.35323383084577,73.3108108108108,68.42727631060306,70.7849133537207,63.45465393794749,73.93483709273183,67.66055045871559,70.65868263473052,45.53695211688173,23.301695638263837,13.682414418257437,17.478937826596994,43.18407960199005,21.16915422885572,15.72139303482587,19.925373134328357,44.0035799522673,19.451073985680193,15.513126491646778,21.032219570405726,0.6595167830416131,0.6890503185850735,0.6097501516342163,0.3984962406015037,0.7219433623014685,0.7125671220436689,0.6755709916245033
3,68.34808574170843,81.06908937249102,64.93484515146388,72.11050554407066,62.38805970149254,76.4584408879711,58.37603468663776,66.20473848904783,62.35083532219571,77.35399284862932,59.54128440366973,67.28875064800415,40.9192705556148,27.428815186093637,9.555294870427643,22.09661938786392,36.840796019900495,25.547263681592042,11.343283582089553,26.268656716417908,38.72315035799523,23.627684964200476,11.336515513126491,26.312649164677804,0.6769076619594827,0.7110993794045579,0.6027253270149231,0.40442452284557545,0.7348791329537508,0.7167959753096169,0.7494640253837578
4,69.2545590274075,82.17779668226287,65.3917752580809,72.83008199038734,62.13930348258706,75.98566308243727,58.49428458809618,66.10244988864143,62.11217183770883,77.8117359413203,58.39449541284404,66.71907756813418,41.20720912871921,28.047349898688278,8.936760157832996,21.80868081475952,36.91542288557214,25.223880597014926,11.666666666666666,26.19402985074627,37.97732696897375,24.134844868735083,10.829355608591886,27.058472553699286,0.6731121035162977,0.717483468868127,0.5958095192909241,0.4136013109697319,0.7271407701528319,0.7084698806280517,0.7621130263270731
5,74.45878212647969,79.54927682475615,80.04738534438991,79.79755377477858,67.81094527363184,73.73043146239023,76.11351990540007,74.90302560124125,67.86992840095465,75.01133786848072,75.87155963302752,75.43899657924744,50.44257225125307,24.016209875226618,12.967900181294656,12.573317692225658,48.03482587064676,19.776119402985074,17.11442786069652,15.074626865671641,49.343675417661096,18.526252983293556,16.437947494033413,15.692124105011935,0.6819439443278955,0.7284498248912539,0.5898251533508301,0.4134952766531714,0.7440128358805315,0.719487437648886,0.7098161964382701
6,71.88866375173296,84.0441023507385,68.37028261973262,75.4012691302725,63.45771144278607,76.64670658682635,60.54394954670871,67.65029729134552,62.70883054892601,77.54739336492891,60.04587155963302,67.68355739400207,43.08414204969607,28.8045217020369,8.179588354484377,19.93174789378266,38.2089552238806,25.24875621890547,11.641791044776118,24.90049751243781,39.05131264916468,23.657517899761338,11.306682577565633,25.984486873508356,0.6754769154898707,0.7276096161446479,0.5809141993522644,0.40228455754771547,0.745673509139946,0.7135023887550835,0.7290969899665551
7,75.16263197184601,84.1733486063383,74.61499407683195,79.1064860500583,65.24875621890547,75.65256525652565,66.25936145053213,70.64509350703929,65.54295942720763,77.50939345142244,66.23853211009174,71.43210487261933,47.0193025487896,28.14332942305641,8.84078063346486,15.996587394689133,41.81592039800995,23.432835820895523,13.457711442786069,21.293532338308456,43.078758949880665,22.46420047732697,12.5,21.957040572792362,0.6899464179478347,0.7431769744148586,0.5697954297065735,0.42250819356082525,0.7599890120867047,0.7261585133125386,0.7263385072749622
8,78.02068891969714,82.88888888888889,82.06126248096125,82.47299940471129,67.48756218905473,74.40476190476191,73.90618841150966,74.15463713664226,66.73627684964201,74.39303710490151,74.49541284403671,74.44418977767592,51.711634851231736,26.309054068465393,10.675055988055881,11.304255092246986,46.64179104477612,20.845771144278608,16.044776119402986,16.467661691542286,48.44868735083532,18.287589498806682,16.676610978520287,16.58711217183771,0.6815173231674859,0.7493486543611163,0.5620407462120056,0.41609793715056875,0.7590431775047447,0.7121624156039009,0.731941228596747
9,76.62365362056094,83.15789473684211,78.87967507192418,80.9623067569915,66.61691542288557,74.90621092121718,70.83169097359085,72.81199351701783,67.21360381861575,76.19970916141541,72.11009174311927,74.09851520150838,49.70672923109737,26.91692438946358,10.067185667057695,13.30916071238136,44.70149253731343,21.915422885572138,14.975124378109452,18.407960199004975,46.89737470167065,20.31622911694511,14.647971360381861,18.138424821002385,0.6824592165826471,0.7476221661350435,0.5777422189712524,0.4117216117216117,0.7476962840875038,0.7203124794356484,0.723680073178401
10,77.23152394155913,83.82932950878451,79.13352513115586,81.41377209018891,66.51741293532338,74.98950902224088,70.43752463539614,72.64227642276423,67.00477326968974,76.50542941757156,71.10091743119266,73.70423204945315,49.86669510504426,27.364828836514874,9.619281220006398,13.149194838434466,44.45273631840796,22.064676616915424,14.82587064676617,18.65671641791045,46.241050119331746,20.763723150357997,14.200477326968974,18.79474940334129,0.6845298947928735,0.747800554779231,0.568450927734375,0.4129072681704261,0.7520227749475576,0.7210824087600847,0.7265386044650259
11,77.43414738189186,85.898163922014,76.7981045862244,81.09363831308077,66.14427860696517,76.65457842248414,66.65352778872685,71.30508117225385,65.09546539379475,76.5509989484753,66.78899082568807,71.3375796178344,48.39500906473286,29.039138317159008,7.944971739362269,14.620880878745869,42.06467661691543,24.079601990049753,12.810945273631841,21.044776119402986,43.43675417661098,21.65871121718377,13.305489260143197,21.599045346062052,0.6847768653912389,0.7579961655010119,0.5652912855148315,0.3992095623674571,0.7759121216661672,0.7151022953106697,0.71621930652031
12,79.0551349045537,85.09162070805907,80.94432222034185,82.9661751951431,66.59203980099502,75.08403361344537,70.43752463539614,72.68659751881229,66.70644391408115,76.23274161735701,70.91743119266056,73.47908745247148,51.007785005865415,28.047349898688278,8.936760157832996,12.008104937613309,44.45273631840796,22.139303482587064,14.751243781094528,18.65671641791045,46.12171837708831,20.58472553699284,14.379474940334127,18.914081145584728,0.686920538873407,0.7580510661374686,0.5483464002609253,0.38907846539425484,0.7703900709219857,0.7274047130203605,0.712345996626933
13,79.36440226085102,86.56606551343393,79.607378575055,82.9410208939434,66.04477611940298,75.65674255691769,68.1119432400473,71.6863721219664,67.09427207637232,77.40458015267176,69.77064220183486,73.38962605548855,50.16529806974512,29.199104191105896,7.785005865415378,12.850591873733602,42.98507462686567,23.059701492537314,13.83084577114428,20.12437810945274,45.375894988066825,21.71837708830549,13.24582338902148,19.659904534606206,0.6963471052384382,0.7657074302047994,0.5648970007896423,0.4120204357046462,0.7729840924982518,0.7343061094220924,0.7058571306062945
14,79.31108030286872,84.29237947122861,82.5520392621425,83.41313269493844,65.9950248756219,73.41873498799039,72.29010642491131,72.85004965243299,67.21360381861575,75.50731477111844,73.39449541284404,74.43591532914631,52.02090220752906,27.290178095339662,9.693931961181615,10.994987735949664,45.62189054726368,20.37313432835821,16.517412935323385,17.487562189054724,47.7326968973747,19.48090692124105,15.48329355608592,17.30310262529833,0.6833692112596675,0.7568845198310721,0.559097170829773,0.4048197416618469,0.7527563430226749,0.7221649162290573,0.7097018551868051
15,80.31353311293591,85.87321207840367,82.2981892029108,84.04770134808157,67.28855721393035,74.77696674776966,72.68427276310602,73.7157705376774,67.5417661097852,75.87677725118483,73.44036697247707,74.63869463869463,51.86093633358217,28.45259677935374,8.531513277167537,11.154953609896555,45.87064676616915,21.417910447761194,15.4726368159204,17.238805970149254,47.76252983293556,19.779236276849645,15.184964200477328,17.273269689737468,0.68973271597207,0.7681191235608295,0.557212233543396,0.4275592828224407,0.7666441913894717,0.7200352719758887,0.7174341823171255
16,78.02068891969714,86.56404408969973,77.08580132002031,81.55044311162833,65.79601990049751,76.17117117117117,66.65352778872685,71.09522808492747,65.75178997613365,77.59358288770053,66.55963302752293,71.65432098765432,48.57630372187266,29.444385197824463,7.539724858696811,14.439586221606056,42.06467661691543,23.731343283582092,13.159203980099502,21.044776119402986,43.28758949880668,22.46420047732697,12.5,21.74821002386635,0.6911920343175626,0.7644889419328633,0.5538358688354492,0.4152882205513785,0.7579537508740385,0.7296231952725024,0.7171483291884629
17,80.3668550709182,87.29372937293729,80.5720088001354,83.79829270439144,66.14427860696517,75.06393861892583,69.41269215608988,72.12779029285275,67.33293556085918,77.49619868220984,70.13761467889908,73.6335179388394,50.77316839074331,29.593686680174898,7.390423376346379,12.242721552735416,43.80597014925373,22.33830845771144,14.55223880597015,19.30348258706468,45.6145584725537,21.71837708830549,13.24582338902148,19.42124105011933,0.6913284356702257,0.7708639017833147,0.5548332929611206,0.3966454598033545,0.7788089351713117,0.7257998710203867,0.7080439070405626
18,82.15847285912339,85.77702702702703,85.9367067185649,85.85679262828643,67.88557213930349,73.79679144385027,76.15293653921955,74.95635305528614,69.12291169451073,76.08200455580865,76.60550458715596,76.34285714285714,54.15378052682095,28.004692332302444,8.979417724218832,8.862109416657779,48.059701492537314,19.82587064676617,17.064676616915424,15.049751243781095,49.821002386634845,19.301909307875896,15.662291169451073,15.214797136038186,0.6977316670319691,0.777043051413032,0.5456717014312744,0.4169751301330249,0.7665723953650984,0.7384222700411945,0.7265957750907583
19,82.23312360029861,87.82314137992512,83.36435945168387,85.53568327834694,67.23880597014926,75.63025210084034,70.94994087504926,73.21537522879805,67.89976133651552,77.71084337349397,71.0091743119266,74.20901246404603,52.53279300415912,29.70033059613949,7.283779460381785,10.483096939319612,44.776119402985074,22.462686567164177,14.427860696517413,18.333333333333332,46.18138424821002,21.71837708830549,13.24582338902148,18.85441527446301,0.6914560306227886,0.7790948166882811,0.5473842620849609,0.39856371698476967,0.7800169813205473,0.7283424474539688,0.7041848898036189
20,81.03871174149515,89.5159747465085,79.1842951430022,84.03376436781609,64.72636815920399,75.98699489084999,64.48561292865588,69.76545842217486,65.2744630071599,78.50729517396185,64.17431192660551,70.62089853609291,49.898688279833635,31.140023461661514,5.844086594859763,13.117201663645089,40.69651741293532,24.029850746268657,12.860696517412935,22.412935323383085,41.73627684964201,23.5381861575179,11.426014319809068,23.299522673031024,0.6969410480007515,0.7842280261970098,0.5450775027275085,0.40104106419895896,0.7880175556887423,0.7316697595451495,0.7077580539119
21,82.06249333475525,88.91548517768368,81.72279573531901,85.16754850088184,66.8407960199005,76.77935943060498,68.03310997240835,72.14211076280043,67.75059665871122,78.66458007303078,69.1743119266055,73.61484012692213,51.49834701930255,30.564146315452707,6.419963741068573,11.517542924176176,42.93532338308458,23.90547263681592,12.985074626865673,20.17412935323383,44.98806682577566,22.76252983293556,12.201670644391408,20.047732696897373,0.7049270830071703,0.78526744955712,0.5508800148963928,0.40645845382687484,0.7891069823194486,0.7345792040115291,0.7416459423148387
