,training set Accuracy,development set Accuracy,test set Accuracy,test set True positive ratio,test set True negative ratio,test AUC score,loss
0,60.87701267557383,60.13855582200905,60.202878037272946,39.655579146025005,20.547298891247937,0.6115323658624728,0.6244955062866211
1,63.800388260819915,62.7498001598721,62.491153573956126,43.85468270818589,18.63647086577023,0.6103181894487719,0.6272897720336914
2,67.71725476761448,65.62749800159871,67.61028544468036,52.795470629865534,14.814814814814813,0.6056770094807113,0.6236760020256042
3,66.24414753911157,63.895550226485476,66.07690493040812,46.07218683651805,20.004718093890066,0.6562806749171157,0.6168711185455322
4,64.04019641429713,58.61977084998667,61.028544468034916,33.19179051663128,27.83675395140363,0.6763110178375927,0.6066474318504333
5,68.43667922804613,62.48334665600853,66.14767633875914,42.651568766218446,23.496107572540694,0.6924015463665658,0.6062458753585815
6,69.20178143199726,62.85638156141753,67.20924746402453,46.28450106157113,20.924746402453408,0.6880407191156044,0.6110104918479919
7,68.5508735868448,62.13695710098588,65.93536211370606,42.5100259495164,23.425336164189666,0.6995261095702596,0.5969541668891907
8,72.3878040424803,63.36264321875833,69.04930408115122,45.836282142014625,23.21302193913659,0.7161206198818696,0.5873662233352661
9,73.11864793879182,62.98960831334932,67.61028544468036,43.02901627742392,24.58126916725643,0.708827095183013,0.5848687291145325
10,71.59986296676945,61.55075939248601,67.94055201698514,43.78391129983486,24.15664071715027,0.7148793515748857,0.5812605023384094
11,74.74020783373302,62.88302691180389,69.92215145081387,47.62915782024063,22.29299363057325,0.7165012367933068,0.5779076218605042
12,73.92942788626242,61.89714894750866,67.39797121962727,43.64236848313281,23.755602736494456,0.6997934001245261,0.5728960633277893
13,76.7842868562293,63.86890487609912,71.17244633168201,48.59636706770465,22.576079263977352,0.7265635771748864,0.5733168125152588
14,75.53956834532374,64.18864908073542,70.79499882047654,47.983014861995755,22.811983958480774,0.716941480059157,0.5679666996002197
15,77.1725476761448,63.549160671462836,70.79499882047654,47.88865298419439,22.906345836282142,0.7330430146697764,0.5635905861854553
16,77.81203608541738,64.3218758326672,71.24321774003303,50.0825666430762,21.16065109695683,0.7289535901354547,0.5721223950386047
17,76.19047619047619,63.60245137223555,68.20004718093891,44.090587402689316,24.109459778249587,0.7216178552992953,0.5704866647720337
18,75.88215142171977,61.60405009325872,67.96414248643548,41.58999764095305,26.374144845482423,0.7227922404947367,0.5624878406524658
19,79.15952951924174,63.442579269917395,71.6206652512385,49.068176456711484,22.55248879452701,0.7292655097460666,0.5700480341911316
20,77.22964485554414,62.69650945909939,68.86058032554848,44.25572068884171,24.60485963670677,0.7238207648718771,0.5677065849304199
21,79.59346808267671,64.77484678923527,71.26680820948337,48.69072894550602,22.576079263977352,0.726219002157192,0.5679395794868469
