,training set Accuracy,development set Accuracy,test set Accuracy,test set True positive ratio,test set True negative ratio,test AUC score,loss
0,63.527780740108774,63.582089552238806,63.0071599045346,45.58472553699284,17.42243436754177,0.620667055452923,0.621035635471344
1,67.01503679215101,65.19900497512438,65.8711217183771,50.74582338902148,15.125298329355608,0.6367048799198423,0.6253662109375
2,64.37026767622908,62.61194029850746,62.23150357995226,39.468973747016705,22.76252983293556,0.660307402072831,0.61599200963974
3,65.87394689132985,62.43781094527363,62.97732696897375,38.84248210023866,24.134844868735083,0.6818359191533331,0.6042138934135437
4,65.58600831822544,60.94527363184079,60.05369928400954,35.82935560859188,24.22434367541766,0.6610248301343269,0.6002477407455444
5,70.65159432654366,64.1044776119403,64.17064439140812,41.70644391408115,22.46420047732697,0.6763469878197701,0.595167875289917
6,72.45387650634531,64.60199004975125,66.43794749403341,46.89737470167065,19.540572792362767,0.66160800951874,0.5926740765571594
7,71.4834168710675,63.1094527363184,64.23031026252983,42.18377088305489,22.046539379474943,0.670759424805085,0.592735230922699
8,72.19793110803029,63.731343283582085,63.84248210023866,39.588305489260144,24.25417661097852,0.6913159110123055,0.5842180252075195
9,75.90913938359817,66.49253731343283,67.0346062052506,47.94152744630071,19.09307875894988,0.6811368866831575,0.5812569260597229
