,training set Accuracy,training set Precittion,training set Recall,training set F1 score,development set Accuracy,development set Precittion,development set Recall,development set F1 score,test set Accuracy,test set Precittion,test set Recall,test set F1 score,training set True positive ratio,training set True negative ratio,training set False positive ratio,training set False negative ratio,development set True positive ratio,development set True negative ratio,development set False positive ratio,development set False negative ratio,test set True positive ratio,test set True negative ratio,test set False positive ratio,test set False negative ratio,test AUC score,whole AUC score,loss,hek293 AUC score,hct116 AUC score,hela AUC score,hl60 AUC score
0,66.19387863922364,68.22355289421158,86.7659502453884,76.3855780691299,65.97014925373135,68.07918342097123,86.75601103665747,76.29116117850953,66.76610978520287,69.97751124437781,85.64220183486239,77.02145214521452,54.67633571504745,11.517542924176176,25.466567132345098,8.339554228431268,54.75124378109453,11.218905472636816,25.671641791044774,8.358208955223882,55.698090692124104,11.068019093078759,23.896181384248212,9.337708830548925,0.6244469580737076,0.6317246862802111,0.6209969520568848,0.4576055523423945,0.6265701478373789,0.6709884708019109,0.6478718234571077
1,68.1454623013757,75.50628491620111,73.19343374513454,74.331872475724,63.582089552238806,72.08727871552078,69.01852581789515,70.51953282319775,63.54415274463007,73.5496558505408,68.62385321100918,71.00142382534409,46.123493654686996,22.021968646688705,14.962141409832569,16.892396288791726,43.55721393034826,20.024875621890548,16.865671641791042,19.55223880597015,44.630071599045344,18.914081145584728,16.050119331742245,20.405727923627683,0.6436282759808372,0.6613190034679927,0.6244573593139648,0.45958164642375177,0.6645065428029169,0.69410938260881,0.6246891347225795
2,70.48096406100032,75.88594033294875,77.9150448468438,76.8871075484302,64.8507462686567,71.58218125960062,73.47260543949547,72.51507488815406,66.46778042959427,73.93472348141432,74.81651376146789,74.37300501595988,49.09885891009918,21.38210515090114,15.602004905620134,13.917031033379546,46.3681592039801,18.48258706467662,18.407960199004975,16.741293532338307,48.65751789976134,17.810262529832936,17.153937947494033,16.378281622911693,0.6519002254438426,0.6794233259893742,0.6062802076339722,0.4550125313283208,0.6694916841474378,0.7029849567655071,0.6694823199839922
3,68.13479790977924,82.04959403116085,63.27635809781689,71.45041085419453,62.61194029850746,77.21052631578948,57.82420181316515,66.12576064908721,61.39618138424821,77.65293383270911,57.064220183486235,65.78529878371232,39.87416017916178,28.260637730617468,8.723472325903806,23.141729764316946,36.49253731343284,26.119402985074625,10.771144278606966,26.616915422885572,37.11217183770883,24.28400954653938,10.680190930787589,27.923627684964202,0.6849379246641827,0.7189429773893912,0.6069711446762085,0.42451320609215343,0.734257941264609,0.7235764533238572,0.7490495383471971
4,71.03551242401622,83.19817009773341,67.71027246573024,74.65945139018473,64.22885572139303,77.35191637630662,61.2534489554592,68.36779586449624,63.036992840095465,78.1231320980275,59.95412844036697,67.84323903451856,42.66823077743415,28.36728164658206,8.616828409939213,20.347659166044576,38.656716417910445,25.572139303482587,11.318407960199005,24.45273631840796,38.99164677804296,24.045346062052506,10.918854415274463,26.044152744630072,0.6895702868146664,0.7276898076538065,0.5979610085487366,0.41348563716984776,0.7428797073219457,0.733410326265777,0.7448046193865592
5,72.65649994667804,77.86106946526736,79.09967845659163,78.47548690396239,65.54726368159204,72.42990654205607,73.31493890421757,72.86973555337903,66.0799522673031,74.28970656730321,73.1651376146789,73.72313381095448,49.84536632185134,22.811133624826706,14.172976431694572,13.170523621627387,46.26865671641791,19.27860696517413,17.611940298507463,16.8407960199005,47.58353221957041,18.4964200477327,16.467780429594274,17.452267303102627,0.6652851708050225,0.6973674576139267,0.5902758836746216,0.445180258338153,0.6798147038257916,0.7168387491609745,0.7046851327787782
6,73.88290498027088,79.5322635711847,78.84582839735997,79.1875584261069,66.7910447761194,73.5686274509804,73.94560504532913,73.756634558679,67.24343675417661,75.4708097928437,73.53211009174312,74.48884758364314,49.68540044790445,24.19750453236643,12.786605524154847,13.330489495574277,46.666666666666664,20.12437810945274,16.766169154228855,16.442786069651742,47.82219570405728,19.42124105011933,15.542959427207636,17.213603818615752,0.6734081942574444,0.7196149491912438,0.5889744758605957,0.43609022556390975,0.7156752572170613,0.7152668101235835,0.7382014121144556
7,75.51455689452918,82.29930269980332,77.89812150956169,80.03825421665798,65.74626865671642,73.88797364085667,70.71344107213244,72.26586102719033,66.73627684964201,76.55860349127181,70.41284403669725,73.35722819593788,49.08819451850272,26.426362376026447,10.557747680494828,13.927695424976005,44.62686567164179,21.119402985074625,15.771144278606966,18.48258706467662,45.79355608591885,20.94272076372315,14.021479713603819,19.242243436754176,0.6800946003068542,0.7295044873278049,0.5779989361763,0.4399363794100636,0.7179477574667865,0.7195869691106986,0.7369579510047737
8,73.0617468273435,85.02795609857114,69.48722288035201,76.47606630657478,63.383084577114424,75.91240875912408,61.48994875837603,67.94425087108013,63.8126491646778,77.96414112203585,61.8348623853211,68.96904579176261,43.78799189506239,29.273754932281115,7.710355124240162,19.22789804841634,38.80597014925373,24.577114427860696,12.313432835820896,24.303482587064675,40.214797136038186,23.59785202863962,11.36634844868735,24.821002386634845,0.6719412436985315,0.725299462837541,0.5748001933097839,0.4276749566223251,0.7287702277494756,0.7068469419986576,0.7297973301317783
9,75.82382425082649,83.58539284396902,76.69656456253173,79.99293972288413,65.04975124378109,74.45980985306828,67.91486007094994,71.03689960832818,65.30429594272077,75.46319479218828,69.12844036697248,72.15705051472348,48.3310227151541,27.49280153567239,9.491308520848886,14.684867228324624,42.86069651741293,22.18905472636816,14.701492537313431,20.248756218905474,44.9582338902148,20.346062052505967,14.618138424821003,20.07756563245823,0.6726052462660863,0.7392006743986804,0.5728163719177246,0.42846539425486796,0.7370954450104884,0.7017116121135547,0.7191207157762343
